"Línea Negocio" "Prima Cobrada" "Prima Devengada" "Siniestros Pagados" "Comisiones Bonos" "Siniestros Incurridos" "Cantidad Siniestros" "% Siniestralidad" "% Persistencia" "Rentabilidad" "% Cumplimiento Presupuesto Inventario" "% Cumplimiento Presupuesto Primas Cobradas" "Fecha" "centro_atencion" "asesor"
"18" "Personas" 186 203 510 206 269 339 578.480739472434 66.2673840299249 580 358.639420615509 418.595691584051 2019-01-18 "Centro 3" "Mrs. Sheri Rippin PhD"
"19" "Patrimoniales" 427 297 258 324 358 230 223.144782800227 17.3581091221422 483 238.953560963273 354.01091678068 2019-01-19 "Centro 2" "Lovie Kertzmann"
"20" "Salud" 75 293 216 250 156 433 570.378718804568 135.624585393816 207 117.160743987188 594.570458773524 2019-01-20 "Centro 4" "Mell Terry-Schowalter"
"21" "Personas" 517 329 412 340 470 421 527.926670294255 149.956218944862 530 540.317062474787 511.790540255606 2019-01-21 "Centro 4" "Miss Annis Ferry MD"
"22" "Auto" 408 477 410 590 439 407 150.578376743942 323.149247188121 495 200.256193801761 263.897776091471 2019-01-22 "Centro 3" "Helena Wiegand"
"23" "Fianzas" 258 454 108 161 7 486 49.9926235992461 507.445631409064 101 327.898407261819 510.947426827624 2019-01-23 "Centro 4" "Aurore Shields"
"24" "Salud" 172 184 18 293 417 299 152.394725801423 189.34774864465 123 487.833032151684 358.311537606642 2019-01-24 "Centro 5" "Lovie Kertzmann"
"25" "Patrimoniales" 445 67 496 462 476 362 322.236199351028 431.345885200426 103 90.8449337817729 381.85391142033 2019-01-25 "Centro 5" "Mrs. Domenica Kuphal"
"26" "Auto" 234 96 215 74 591 450 536.991438595578 302.025980735198 216 204.006573278457 48.8680310547352 2019-01-26 "Centro 5" "Mrs. Sheri Rippin PhD"
"27" "Fianzas" 354 214 38 138 421 415 272.991527756676 511.645668977872 425 2.83098123036325 10.4730860330164 2019-01-27 "Centro 5" "Luana Tillman"
"28" "Salud" 356 437 235 242 101 180 382.130208984017 446.76784677431 4 362.642054446042 197.511568665504 2019-01-28 "Centro 2" "Mrs. Domenica Kuphal"
"29" "Salud" 262 459 373 140 511 63 269.638300454244 567.362004239112 591 141.686817398295 486.548925284296 2019-01-29 "Centro 4" "Miss Annis Ferry MD"
"30" "Auto" 345 125 508 88 588 405 87.7353031653911 428.099064482376 138 455.175475403666 303.331326926127 2019-01-30 "Centro 3" "Helena Wiegand"
"31" "Salud" 380 436 216 478 434 28 392.482287157327 293.133647739887 515 239.576468802989 288.597027445212 2019-01-31 "Centro 2" "Luana Tillman"
"32" "Patrimoniales" 472 241 368 45 20 478 404.308060510084 281.212156265974 541 481.690713716671 397.701832931489 2019-02-01 "Centro 5" "Mell Terry-Schowalter"
"33" "Personas" 281 593 300 172 423 426 444.132861820981 574.124683532864 179 445.359313068911 511.840334907174 2019-02-02 "Centro 5" "Luana Tillman"
"34" "Fianzas" 336 247 311 465 283 253 278.905189409852 182.213633554056 268 599.482655385509 185.681864060462 2019-02-03 "Centro 1" "Mrs. Domenica Kuphal"
"35" "Personas" 528 439 273 149 229 326 346.569473063573 91.2693369202316 257 595.376876089722 217.613714793697 2019-02-04 "Centro 3" "Luana Tillman"
"36" "Personas" 574 543 298 107 96 344 164.187717111781 533.558561559767 176 153.104540565982 1.8603487405926 2019-02-05 "Centro 4" "Mrs. Sheri Rippin PhD"
"37" "Salud" 530 101 197 495 488 557 83.0084740184247 503.157659713179 557 75.0542665366083 291.372697334737 2019-02-06 "Centro 1" "Lovie Kertzmann"
"38" "Patrimoniales" 220 166 222 427 98 555 469.098374247551 299.322138587013 36 570.903224637732 246.142812212929 2019-02-07 "Centro 5" "Mell Terry-Schowalter"
"39" "Auto" 558 484 299 561 46 89 344.764576898888 333.587854122743 145 285.56180675514 324.261007457972 2019-02-08 "Centro 5" "Mr. Garth Raynor"
"40" "Auto" 244 529 153 49 408 523 118.217905936763 479.681226611137 313 540.446457965299 468.507510703057 2019-02-09 "Centro 1" "Miss Annis Ferry MD"
"41" "Patrimoniales" 235 465 416 331 532 427 84.3101545237005 485.063283657655 557 357.212380506098 447.092052781954 2019-02-10 "Centro 5" "Mell Terry-Schowalter"
"42" "Auto" 537 115 1 34 438 335 216.517089726403 511.292402492836 180 237.67032623291 91.5359702892601 2019-02-11 "Centro 5" "Luana Tillman"
"43" "Salud" 481 135 252 65 147 286 522.485388256609 343.350594816729 548 296.596580324695 105.042984941974 2019-02-12 "Centro 1" "Mell Terry-Schowalter"
"44" "Patrimoniales" 374 363 317 525 40 451 413.570545613766 109.559640241787 175 114.643225818872 240.174114424735 2019-02-13 "Centro 2" "Mell Terry-Schowalter"
"45" "Fianzas" 206 418 262 491 282 405 4.29202602244914 153.040947765112 178 333.220334490761 277.983622066677 2019-02-14 "Centro 5" "Mrs. Domenica Kuphal"
"46" "Salud" 527 27 252 38 280 542 287.872885912657 323.556674877182 64 255.660451948643 87.1471961494535 2019-02-15 "Centro 2" "Helena Wiegand"
"47" "Personas" 129 181 150 528 439 181 510.364138148725 427.782085631043 474 101.776940748096 263.222734350711 2019-02-16 "Centro 3" "Aurore Shields"
"48" "Personas" 527 471 162 536 437 13 156.80874818936 503.714029071853 302 336.376974312589 180.555214220658 2019-02-17 "Centro 3" "Mrs. Domenica Kuphal"
"49" "Auto" 231 257 223 399 224 12 34.2828644905239 594.040093431249 346 29.1799854487181 152.986887842417 2019-02-18 "Centro 2" "Lovie Kertzmann"
"50" "Patrimoniales" 423 53 20 125 397 379 584.226434631273 440.330371493474 371 529.126477846876 228.272508317605 2019-02-19 "Centro 5" "Helena Wiegand"
"51" "Salud" 25 451 389 301 180 353 327.16997154057 433.573148678988 559 575.792656978592 152.717750659212 2019-02-20 "Centro 2" "Lovie Kertzmann"
"52" "Auto" 217 260 374 79 257 53 144.411669066176 154.359420295805 146 483.84469114244 309.158158488572 2019-02-21 "Centro 1" "Betsy Sporer PhD"
"53" "Salud" 226 126 389 404 411 357 551.857600500807 171.636256668717 73 357.776042539626 538.13237613067 2019-02-22 "Centro 5" "Lovie Kertzmann"
"54" "Patrimoniales" 270 321 440 468 568 124 475.126188900322 546.590525563806 333 491.49587857537 434.798167459667 2019-02-23 "Centro 1" "Luana Tillman"
"55" "Fianzas" 60 94 493 99 515 361 10.7511816546321 490.748701337725 464 400.810098275542 145.562083879486 2019-02-24 "Centro 5" "Lovie Kertzmann"
"56" "Personas" 172 137 305 229 9 291 141.829091124237 442.885363195091 300 387.348343944177 474.865186912939 2019-02-25 "Centro 4" "Betsy Sporer PhD"
"57" "Fianzas" 120 429 353 251 25 363 566.226994385943 530.932935001329 499 118.312765471637 240.3025617823 2019-02-26 "Centro 1" "Helena Wiegand"
"58" "Auto" 471 43 475 564 59 461 535.525939101353 595.523584680632 340 296.214616158977 326.015434367582 2019-02-27 "Centro 1" "Mell Terry-Schowalter"
"59" "Auto" 427 218 51 565 530 78 480.699136387557 365.088178776205 512 409.693111712113 491.410013241693 2019-02-28 "Centro 3" "Mrs. Sheri Rippin PhD"
"60" "Patrimoniales" 329 269 424 407 104 149 533.598612667993 171.942900493741 247 246.197851421311 62.8113408107311 2019-03-01 "Centro 3" "Miss Annis Ferry MD"
"61" "Fianzas" 574 148 420 272 512 295 492.847233312204 542.264584265649 585 115.984893310815 113.215342210606 2019-03-02 "Centro 1" "Helena Wiegand"
"62" "Fianzas" 316 502 0 352 17 591 129.981509735808 554.159022727981 133 478.763393266127 153.314455971122 2019-03-03 "Centro 1" "Aurore Shields"
"63" "Auto" 440 276 202 506 591 428 503.411399619654 223.849132144824 203 586.705309012905 356.060291547328 2019-03-04 "Centro 2" "Helena Wiegand"
"64" "Fianzas" 278 184 597 579 107 46 516.688942769542 146.16408040747 181 175.891686882824 352.325267577544 2019-03-05 "Centro 3" "Luana Tillman"
"65" "Patrimoniales" 18 382 433 357 475 554 151.582243898883 588.693133788183 265 485.633669793606 219.858019519597 2019-03-06 "Centro 2" "Mrs. Domenica Kuphal"
"66" "Personas" 501 416 595 577 220 300 412.31138734147 456.649422878399 406 260.118591925129 409.668725682423 2019-03-07 "Centro 4" "Mell Terry-Schowalter"
"67" "Personas" 591 13 465 310 358 121 241.769937286153 312.724210275337 197 516.452350979671 96.7952876351774 2019-03-08 "Centro 2" "Lovie Kertzmann"
"68" "Salud" 590 532 428 115 380 516 449.11508881487 552.035536570475 420 251.362384809181 56.2154694925994 2019-03-09 "Centro 4" "Mrs. Sheri Rippin PhD"
"69" "Personas" 226 465 501 398 428 204 147.316799685359 149.550594203174 152 422.244420647621 229.205808090046 2019-03-10 "Centro 2" "Mrs. Domenica Kuphal"
"70" "Salud" 28 114 585 380 33 446 279.256398975849 173.955194978043 492 64.9001335725188 347.608763398603 2019-03-11 "Centro 2" "Betsy Sporer PhD"
"71" "Fianzas" 129 454 496 597 463 288 298.197970725596 307.341146701947 84 575.803851010278 397.565712220967 2019-03-12 "Centro 3" "Mrs. Sheri Rippin PhD"
"72" "Personas" 52 257 546 548 204 256 291.360201872885 81.5356956794858 381 83.2156396005303 525.531656574458 2019-03-13 "Centro 5" "Luana Tillman"
"73" "Fianzas" 424 46 331 359 574 223 394.060544064268 276.101978402585 489 373.551631579176 154.895888082683 2019-03-14 "Centro 1" "Lovie Kertzmann"
"74" "Patrimoniales" 368 549 213 410 502 395 454.72921631299 141.095562139526 158 436.376237450168 97.4626528099179 2019-03-15 "Centro 4" "Lovie Kertzmann"
"75" "Patrimoniales" 330 308 571 182 447 196 189.588455390185 342.315634572878 56 438.629619358107 421.283834986389 2019-03-16 "Centro 4" "Betsy Sporer PhD"
"76" "Personas" 204 323 585 116 516 492 556.740100868046 336.542833736166 170 200.14864532277 125.703753484413 2019-03-17 "Centro 3" "Aurore Shields"
"77" "Auto" 49 544 196 212 447 127 515.586326876655 244.997653970495 220 125.624841637909 104.639270156622 2019-03-18 "Centro 3" "Mr. Garth Raynor"
"78" "Fianzas" 489 520 412 333 19 86 490.04021412693 133.787102764472 379 110.503449803218 368.086756719276 2019-03-19 "Centro 4" "Mrs. Sheri Rippin PhD"
"79" "Auto" 534 322 229 306 46 78 252.924868930131 577.225245768204 163 246.796987624839 331.508630001917 2019-03-20 "Centro 1" "Helena Wiegand"
"80" "Auto" 122 502 293 37 66 139 264.815533300862 254.036398138851 358 275.987333944067 245.638045901433 2019-03-21 "Centro 2" "Helena Wiegand"
"81" "Patrimoniales" 160 95 483 241 387 117 420.042801182717 544.288671948016 289 136.470847344026 454.660225985572 2019-03-22 "Centro 3" "Miss Annis Ferry MD"
"82" "Auto" 63 27 387 316 385 443 44.4655478931963 299.558929307386 369 55.6113745551556 572.863232949749 2019-03-23 "Centro 3" "Mell Terry-Schowalter"
"83" "Salud" 430 224 369 86 492 283 140.56581328623 11.197205632925 226 63.805002020672 438.381433160976 2019-03-24 "Centro 2" "Mr. Garth Raynor"
"84" "Auto" 540 162 204 589 482 340 520.35485683009 96.3763602543622 544 45.3424475155771 155.931304162368 2019-03-25 "Centro 2" "Lovie Kertzmann"
"85" "Patrimoniales" 377 483 508 586 457 530 388.933070842177 551.153473835438 239 21.6110785491765 464.41630795598 2019-03-26 "Centro 5" "Miss Annis Ferry MD"
"86" "Patrimoniales" 477 51 155 516 479 124 249.583494057879 58.3817287813872 490 74.2834301199764 43.6910586431623 2019-03-27 "Centro 1" "Mrs. Domenica Kuphal"
"87" "Fianzas" 588 371 448 197 95 467 126.59456259571 430.475456966087 422 524.714956060052 19.8452294804156 2019-03-28 "Centro 5" "Mr. Garth Raynor"
"88" "Patrimoniales" 31 235 365 12 443 396 7.05593512393534 571.205033082515 317 367.279428290203 48.197964951396 2019-03-29 "Centro 3" "Betsy Sporer PhD"
"89" "Personas" 120 331 472 122 49 40 65.0424005929381 113.907067850232 143 78.4138487186283 419.715414103121 2019-03-30 "Centro 2" "Miss Annis Ferry MD"
"90" "Auto" 59 128 376 285 566 497 483.395042130724 565.36051905714 19 393.810355430469 400.917387614027 2019-03-31 "Centro 5" "Mr. Garth Raynor"
"91" "Patrimoniales" 193 398 562 434 446 125 266.690801130608 491.197930835187 102 583.214966906235 511.958382278681 2019-04-01 "Centro 4" "Betsy Sporer PhD"
"92" "Salud" 13 196 576 75 461 427 544.635116821155 33.0515355337411 545 428.763270936906 63.1294204853475 2019-04-02 "Centro 1" "Luana Tillman"
"93" "Personas" 12 557 225 4 120 371 59.2673964332789 518.953019147739 269 510.735903913155 140.736401360482 2019-04-03 "Centro 3" "Helena Wiegand"
"94" "Salud" 504 41 9 397 521 129 562.02121633105 223.944756947458 336 26.3627191074193 118.181789293885 2019-04-04 "Centro 1" "Mrs. Sheri Rippin PhD"
"95" "Patrimoniales" 319 325 240 394 481 544 472.293012030423 413.999918382615 158 289.845837978646 508.803697256371 2019-04-05 "Centro 4" "Mrs. Sheri Rippin PhD"
"96" "Salud" 444 201 13 473 344 438 335.559442313388 516.841792222112 2 148.415309842676 216.72598044388 2019-04-06 "Centro 1" "Lovie Kertzmann"
"97" "Fianzas" 444 519 520 30 462 235 301.405735127628 208.371737133712 338 48.571179388091 341.814701026306 2019-04-07 "Centro 3" "Mell Terry-Schowalter"
"98" "Fianzas" 363 466 102 245 25 580 530.055152764544 140.010121604428 557 355.463188095018 398.886303696781 2019-04-08 "Centro 1" "Mrs. Domenica Kuphal"
"99" "Salud" 272 160 260 114 215 20 520.386438025162 167.69462171942 24 15.8510591369122 442.396547086537 2019-04-09 "Centro 5" "Helena Wiegand"
"100" "Personas" 373 204 279 106 66 381 238.067824300379 211.375472322106 115 50.4406801890582 68.3601558208466 2019-04-10 "Centro 5" "Mell Terry-Schowalter"
"101" "Salud" 19 557 336 43 243 584 302.11005108431 194.093715632334 121 132.788506709039 182.818717695773 2019-04-11 "Centro 5" "Mrs. Domenica Kuphal"
"102" "Personas" 112 337 417 598 296 596 227.775970799848 19.6575743146241 131 437.805579509586 142.153309425339 2019-04-12 "Centro 2" "Aurore Shields"
"103" "Patrimoniales" 163 79 332 346 233 439 439.643085189164 569.905112776905 239 490.252671623603 520.223005162552 2019-04-13 "Centro 2" "Mell Terry-Schowalter"
"104" "Personas" 98 551 371 559 74 113 439.033248648047 162.448061490431 135 458.05161902681 4.10068728961051 2019-04-14 "Centro 4" "Lovie Kertzmann"
"105" "Patrimoniales" 408 478 207 322 274 433 47.541427379474 3.0613518320024 225 386.473442707211 250.752596603706 2019-04-15 "Centro 4" "Mrs. Sheri Rippin PhD"
"106" "Auto" 153 104 117 52 387 17 12.8633631393313 145.60833144933 468 226.842299150303 559.934475738555 2019-04-16 "Centro 4" "Betsy Sporer PhD"
"107" "Personas" 60 18 380 295 242 190 421.241900604218 273.052515322343 574 537.24450445734 446.652796072885 2019-04-17 "Centro 1" "Mell Terry-Schowalter"
"108" "Fianzas" 7 375 448 22 455 356 599.937892192975 157.927410677075 308 432.853738311678 471.702089253813 2019-04-18 "Centro 2" "Miss Annis Ferry MD"
"109" "Salud" 517 353 553 419 117 92 38.2468664087355 0.102427275851369 426 90.0916352402419 511.985160084441 2019-04-19 "Centro 2" "Miss Annis Ferry MD"
"110" "Salud" 349 202 471 204 508 369 194.206019863486 89.7619385272264 589 212.505421042442 370.342605840415 2019-04-20 "Centro 4" "Mell Terry-Schowalter"
"111" "Personas" 347 520 370 188 338 190 463.619904080406 547.922060871497 559 451.347179710865 11.9430941529572 2019-04-21 "Centro 2" "Mr. Garth Raynor"
"112" "Patrimoniales" 547 385 561 344 372 238 304.090270958841 170.097533427179 498 240.577214537188 226.072619436309 2019-04-22 "Centro 3" "Luana Tillman"
"113" "Salud" 275 545 352 77 186 581 141.065585101023 13.285249331966 583 559.812671877444 551.542788231745 2019-04-23 "Centro 1" "Aurore Shields"
"114" "Personas" 583 458 565 447 22 274 184.764533769339 567.777132662013 89 486.806482728571 289.161395095289 2019-04-24 "Centro 1" "Betsy Sporer PhD"
"115" "Salud" 209 135 85 347 557 443 173.795539559796 593.228347878903 120 74.3028409313411 146.812566742301 2019-04-25 "Centro 1" "Luana Tillman"
"116" "Personas" 141 413 92 145 333 55 229.723361833021 260.306062130257 430 499.2195377592 51.4339350163937 2019-04-26 "Centro 3" "Mr. Garth Raynor"
"117" "Auto" 210 377 326 174 26 205 466.788267390803 48.9532456733286 281 492.194638308138 307.351598655805 2019-04-27 "Centro 5" "Mr. Garth Raynor"
"118" "Personas" 237 325 440 537 19 26 246.705756196752 111.626890255138 464 441.811909200624 202.835498331115 2019-04-28 "Centro 5" "Miss Annis Ferry MD"
"119" "Fianzas" 278 198 285 549 243 299 251.53862410225 557.901060255244 290 130.158100649714 9.68738291412592 2019-04-29 "Centro 3" "Helena Wiegand"
"120" "Patrimoniales" 574 527 376 393 533 414 291.713347518817 122.933435859159 379 50.9777760598809 128.270101826638 2019-04-30 "Centro 1" "Helena Wiegand"
"121" "Salud" 463 578 287 117 416 584 439.631844777614 591.218730993569 110 61.2451943568885 94.5356630254537 2019-05-01 "Centro 4" "Aurore Shields"
"122" "Patrimoniales" 347 351 433 279 462 42 400.248885154724 108.736211853102 235 515.101395361125 253.06708230637 2019-05-02 "Centro 4" "Lovie Kertzmann"
"123" "Fianzas" 65 177 394 366 563 204 490.227661281824 94.0221360884607 390 72.629833035171 261.008187895641 2019-05-03 "Centro 3" "Luana Tillman"
"124" "Fianzas" 573 595 351 484 161 597 116.258676722646 324.741759197786 198 229.326940281317 84.974223235622 2019-05-04 "Centro 5" "Betsy Sporer PhD"
"125" "Personas" 194 226 89 281 480 359 237.226385716349 214.695393433794 144 287.018719408661 191.996534541249 2019-05-05 "Centro 5" "Mrs. Sheri Rippin PhD"
"126" "Fianzas" 33 323 461 293 500 107 489.188341470435 421.026706276461 564 572.628568857908 255.230208998546 2019-05-06 "Centro 5" "Mrs. Domenica Kuphal"
"127" "Salud" 104 85 167 533 415 451 505.28868092224 185.17605685629 444 550.532583799213 517.191940918565 2019-05-07 "Centro 3" "Aurore Shields"
"128" "Auto" 527 140 296 544 362 265 119.473655149341 39.3295423127711 84 510.373499337584 504.163377452642 2019-05-08 "Centro 4" "Mell Terry-Schowalter"
"129" "Patrimoniales" 138 184 455 412 264 372 513.141911476851 292.873397469521 386 211.790142115206 17.768587404862 2019-05-09 "Centro 5" "Miss Annis Ferry MD"
"130" "Personas" 225 199 198 8 508 508 185.155872255564 505.752275325358 189 394.259971752763 401.368807582185 2019-05-10 "Centro 1" "Luana Tillman"
"131" "Fianzas" 326 457 280 394 372 395 32.5125868432224 548.997759679332 190 159.36197550036 44.7770780883729 2019-05-11 "Centro 5" "Betsy Sporer PhD"
"132" "Patrimoniales" 236 344 23 236 188 337 349.001349974424 346.673178300261 379 169.187277462333 352.763416059315 2019-05-12 "Centro 5" "Miss Annis Ferry MD"
"133" "Patrimoniales" 367 183 110 417 477 202 354.904813924804 333.726781234145 114 308.421145146713 503.179818950593 2019-05-13 "Centro 3" "Mrs. Domenica Kuphal"
"134" "Fianzas" 474 49 2 390 464 261 104.555319109932 357.007641624659 365 408.155554253608 538.820213824511 2019-05-14 "Centro 3" "Mrs. Sheri Rippin PhD"
"135" "Personas" 130 152 210 435 191 76 468.878345098346 339.54693255946 188 236.206812830642 0.912705576047301 2019-05-15 "Centro 5" "Miss Annis Ferry MD"
"136" "Patrimoniales" 322 567 592 99 542 337 4.65185665525496 498.884078208357 539 544.935975596309 258.014454692602 2019-05-16 "Centro 1" "Mrs. Domenica Kuphal"
"137" "Fianzas" 337 227 358 221 130 549 292.737824516371 345.252725947648 422 36.3962427712977 450.856558559462 2019-05-17 "Centro 2" "Aurore Shields"
"138" "Personas" 166 399 408 321 176 79 520.233966736123 540.806450648233 326 371.265946375206 210.474095586687 2019-05-18 "Centro 4" "Mell Terry-Schowalter"
"139" "Auto" 549 280 136 398 66 347 403.945871070027 585.650167660788 410 164.650088036433 127.291668998078 2019-05-19 "Centro 3" "Miss Annis Ferry MD"
"140" "Fianzas" 69 224 322 218 16 7 576.058036275208 331.731529394165 483 243.339531356469 328.355482779443 2019-05-20 "Centro 5" "Betsy Sporer PhD"
"141" "Auto" 258 597 314 26 218 451 570.143015217036 261.137729231268 0 1.99157763272524 495.794936874881 2019-05-21 "Centro 1" "Aurore Shields"
"142" "Fianzas" 316 470 404 328 56 482 399.941177666187 442.227868409827 574 341.905037406832 229.527743859217 2019-05-22 "Centro 5" "Mr. Garth Raynor"
"143" "Auto" 404 392 495 14 387 383 47.7322859689593 590.812021214515 18 585.392783023417 352.730672573671 2019-05-23 "Centro 3" "Betsy Sporer PhD"
"144" "Salud" 246 494 43 204 474 481 306.649166671559 504.070714116096 141 225.497709866613 227.85530872643 2019-05-24 "Centro 1" "Helena Wiegand"
"145" "Patrimoniales" 555 24 467 468 557 24 294.385663932189 18.7490672338754 33 92.5736803561449 422.869555838406 2019-05-25 "Centro 1" "Mell Terry-Schowalter"
"146" "Fianzas" 302 456 18 349 103 316 167.396230297163 138.074530335143 576 426.694170897827 289.98526702635 2019-05-26 "Centro 1" "Mrs. Domenica Kuphal"
"147" "Salud" 511 338 415 136 421 180 140.628251619637 187.314762175083 533 121.051430376247 218.735535023734 2019-05-27 "Centro 3" "Luana Tillman"
"148" "Salud" 465 171 215 37 324 151 397.555594984442 180.517742363736 252 150.509926769882 173.655268829316 2019-05-28 "Centro 4" "Lovie Kertzmann"
"149" "Auto" 483 542 533 591 444 210 266.27669907175 11.9870728813112 501 576.418519159779 141.205491917208 2019-05-29 "Centro 1" "Aurore Shields"
"150" "Salud" 336 69 584 266 219 344 572.417241800576 536.158215114847 179 499.363101040944 326.361419772729 2019-05-30 "Centro 1" "Mrs. Sheri Rippin PhD"
"151" "Personas" 318 30 522 235 347 78 146.583522297442 114.098382554948 36 132.066450174898 178.091478953138 2019-05-31 "Centro 4" "Mell Terry-Schowalter"
"152" "Auto" 137 356 458 572 17 0 485.62486320734 591.086743120104 180 171.910110907629 535.553000494838 2019-06-01 "Centro 5" "Mell Terry-Schowalter"
"153" "Fianzas" 406 413 257 269 578 483 599.806105624884 221.744499402121 555 270.142010506243 465.911149699241 2019-06-02 "Centro 5" "Mrs. Domenica Kuphal"
"154" "Auto" 87 123 592 322 259 462 172.27760469541 6.91915364004672 338 184.592369757593 70.9691077005118 2019-06-03 "Centro 1" "Lovie Kertzmann"
"155" "Patrimoniales" 562 564 198 297 104 281 7.03802718780935 205.580183817074 272 381.034629559144 79.2594396974891 2019-06-04 "Centro 3" "Mrs. Domenica Kuphal"
"156" "Salud" 488 493 256 226 234 258 541.686423495412 372.173959761858 286 570.550300693139 123.135521449149 2019-06-05 "Centro 3" "Mrs. Sheri Rippin PhD"
"157" "Auto" 72 378 326 132 320 282 310.978959035128 523.858002154157 454 7.63193015009165 353.787357453257 2019-06-06 "Centro 1" "Betsy Sporer PhD"
"158" "Auto" 102 61 263 0 506 366 577.082662191242 551.716709090397 374 51.45198921673 520.532293478027 2019-06-07 "Centro 5" "Mell Terry-Schowalter"
"159" "Fianzas" 30 157 487 162 106 137 593.293490074575 454.410015698522 243 426.862865220755 396.301284665242 2019-06-08 "Centro 1" "Aurore Shields"
"160" "Salud" 452 415 575 183 215 477 556.70750210993 88.5291835293174 540 255.994781339541 317.459610197693 2019-06-09 "Centro 1" "Mell Terry-Schowalter"
"161" "Salud" 217 367 91 448 372 589 187.385562574491 375.11576958932 530 577.950192801654 591.303480416536 2019-06-10 "Centro 2" "Aurore Shields"
"162" "Fianzas" 283 569 457 365 315 246 195.284020761028 583.244119444862 426 155.826116306707 596.260648593307 2019-06-11 "Centro 5" "Luana Tillman"
"163" "Salud" 505 228 153 126 325 259 74.0050509106368 343.804519018158 215 270.779608609155 360.956621356308 2019-06-12 "Centro 2" "Helena Wiegand"
"164" "Auto" 63 117 293 237 136 153 543.942019343376 262.564006308094 124 542.543545877561 471.285821311176 2019-06-13 "Centro 3" "Luana Tillman"
"165" "Salud" 338 424 116 216 206 330 51.6572209540755 228.725008433685 219 169.459544168785 80.5759651120752 2019-06-14 "Centro 3" "Mrs. Domenica Kuphal"
"166" "Fianzas" 442 483 535 364 521 15 292.300792504102 118.853299599141 454 420.209311880171 409.346349583939 2019-06-15 "Centro 5" "Lovie Kertzmann"
"167" "Patrimoniales" 419 455 161 399 58 225 347.112471889704 319.171608891338 175 152.617311989889 37.1929268818349 2019-06-16 "Centro 1" "Helena Wiegand"
"168" "Salud" 73 21 158 180 425 346 496.819053450599 156.906986050308 522 220.581764169037 584.685769909993 2019-06-17 "Centro 3" "Lovie Kertzmann"
"169" "Patrimoniales" 134 313 578 279 476 316 330.568206310272 215.313787478954 2 33.2602389156818 111.510486435145 2019-06-18 "Centro 5" "Helena Wiegand"
"170" "Fianzas" 23 478 175 83 518 100 572.995810769498 373.355566291139 107 30.0457657780498 70.291638141498 2019-06-19 "Centro 5" "Luana Tillman"
