"Código Productor" "Nombre Productor" "Pólizas Auto" "% Ppto Auto" "Cartera Activa Auto" "Pólizas Fianza" "% Ppto Fianza" "Cartera Activa Fianza" "Pólizas Patrimoniales" "% Ppto Patrimoniales" "Cartera Activa Patrimoniales" "Pólizas Personas" "% Ppto Personas" "Cartera Activa Personas" "Pólizas Salud" "% Ppto Salud" "Cartera Activa Salud" "Pólizas General" "% Ppto General" "Cartera Activa General" "Fecha" "cuentas_esp" "productores" "centro_atencion"
"28" 591 "Myrl Kiehn" 395 485 176 68 118.171871313825 46 61 43.8808616017923 99 66 89.9887098697945 10 30 27.8632970759645 65 82 18.0233854800463 96 2019-01-28 "Cuenta 2" "Productor 5" "Centro 2"
"29" 64 "Brad Nienow III" 168 332 144 154 52.2417519241571 35 37 52.2948282305151 7 23 72.5225600646809 14 3 32.9286622582003 10 31 38.7634289683774 79 2019-01-29 "Cuenta 1" "Productor 5" "Centro 5"
"30" 471 "Dahlia Dietrich" 98 492 278 78 68.214750662446 83 19 72.1340059535578 23 75 68.808665079996 98 13 2.24402737803757 44 67 37.1079514734447 2 2019-01-30 "Cuenta 2" "Productor 5" "Centro 2"
"31" 558 "Mr. Kareen Bergstrom" 548 106 260 14 86.3071969244629 67 0 83.7627995526418 57 15 99.1907887393609 51 71 84.9089072551578 42 64 76.2259452370927 63 2019-01-31 "Cuenta 4" "Productor 4" "Centro 3"
"32" 206 "Brantley Wilderman" 447 75 276 106 85.5185394175351 85 63 17.7028303965926 12 37 0.0596316298469901 100 25 11.3114457111806 8 17 8.69253710843623 73 2019-02-01 "Cuenta 3" "Productor 4" "Centro 4"
"33" 560 "Alexandria Kozey DDS" 305 166 216 80 120.661943266168 85 82 93.6637761536986 64 28 31.7109818104655 91 74 72.1588695421815 75 36 39.7140230750665 54 2019-02-02 "Cuenta 4" "Productor 1" "Centro 5"
"34" 236 "Lula Kohler" 134 513 107 155 169.666883349419 31 50 54.1422185255215 21 64 35.7452250784263 60 95 69.8433962184936 97 100 52.5637994520366 2 2019-02-03 "Cuenta 5" "Productor 1" "Centro 3"
"35" 60 "Vella Bechtelar" 48 80 58 70 48.7738548777997 35 66 45.6392609514296 85 31 37.7591797150671 42 4 41.1194287706167 64 5 77.7787336148322 62 2019-02-04 "Cuenta 5" "Productor 4" "Centro 3"
"36" 227 "Vander Haag" 89 467 132 63 169.627876533195 0 18 50.8799568517134 92 65 93.3331787586212 7 71 96.9814594369382 48 64 93.3509858325124 98 2019-02-05 "Cuenta 2" "Productor 4" "Centro 4"
"37" 286 "Mrs. Jessica Huel" 544 122 256 51 97.0302259083837 94 52 79.3170278193429 22 52 59.3662694562227 11 73 15.9341739257798 63 66 41.1696597468108 88 2019-02-06 "Cuenta 4" "Productor 1" "Centro 4"
"38" 517 "Gena Zboncak" 116 387 60 54 169.261776655912 19 99 3.46223020460457 99 71 82.4063338572159 19 24 69.2837992450222 85 100 56.3735065748915 59 2019-02-07 "Cuenta 5" "Productor 5" "Centro 5"
"39" 458 "Fleta Greenfelder" 262 503 228 137 52.8373382519931 65 94 94.1349854459986 47 62 64.8481066105887 44 98 46.5545168146491 75 72 88.1156454328448 87 2019-02-08 "Cuenta 4" "Productor 4" "Centro 2"
"40" 42 "Elena Schmidt" 255 250 51 159 42.0085245743394 90 17 92.0554226031527 30 1 68.9831472700462 27 17 5.1327885594219 59 11 64.3033829983324 3 2019-02-09 "Cuenta 1" "Productor 1" "Centro 2"
"41" 57 "Miss Alzina DuBuque PhD" 179 530 207 185 30.4246486630291 45 27 8.03661397658288 100 17 7.1423500077799 66 17 63.9523256570101 71 10 15.7346716383472 25 2019-02-10 "Cuenta 4" "Productor 3" "Centro 2"
"42" 82 "Michelina Boyle" 262 327 204 151 128.61735234037 25 15 6.99050279799849 30 17 27.7750588255003 21 24 42.8607157897204 12 17 18.7208398245275 80 2019-02-11 "Cuenta 4" "Productor 2" "Centro 1"
"43" 269 "Mr. Karson Keebler III" 3 89 73 172 179.897769493982 69 43 82.4481525225565 88 1 16.1545517621562 94 46 52.9695442179218 59 41 39.3777750432491 31 2019-02-12 "Cuenta 1" "Productor 1" "Centro 4"
"44" 542 "Blanchard Mayert" 45 450 108 43 63.1504488643259 98 71 94.5359025616199 48 20 43.5821502236649 32 55 20.7584012066945 100 56 3.69946870487183 48 2019-02-13 "Cuenta 4" "Productor 2" "Centro 3"
"45" 438 "Dr. Mickey Mante PhD" 489 318 16 159 12.805258622393 44 88 31.8232332589105 47 10 4.42105301190168 77 67 13.6758983135223 21 30 31.0925925150514 79 2019-02-14 "Cuenta 2" "Productor 2" "Centro 5"
"46" 433 "Dr. Ossie Dickens" 548 65 7 120 15.0168151594698 53 98 6.8999398034066 31 63 15.9113956382498 61 55 25.6159662734717 74 97 90.9795515472069 88 2019-02-15 "Cuenta 5" "Productor 1" "Centro 1"
"47" 529 "Tawny Rolfson-Rau" 425 326 22 73 65.6543978024274 84 47 24.8528781579807 38 31 85.5815624585375 64 71 42.4985348945484 75 46 97.1618429059163 57 2019-02-16 "Cuenta 5" "Productor 3" "Centro 4"
"48" 99 "Liane Blanda" 13 325 190 141 55.1894594915211 16 7 74.5688539464027 66 0 90.2201716555282 91 78 55.5567096918821 4 55 63.375117466785 44 2019-02-17 "Cuenta 5" "Productor 4" "Centro 3"
"49" 511 "Jett Flatley" 252 345 39 143 4.92334426380694 24 31 59.5876076258719 5 42 90.6877802219242 29 62 43.3568497654051 30 59 99.9566992977634 26 2019-02-18 "Cuenta 4" "Productor 3" "Centro 5"
"50" 584 "Pernell Spinka" 454 133 8 67 101.027523679659 11 5 6.32194112986326 54 20 80.8716178871691 52 33 15.5996809480712 86 29 96.9887750921771 51 2019-02-19 "Cuenta 5" "Productor 4" "Centro 3"
"51" 429 "Erling Kutch" 99 126 257 123 138.631550502032 88 55 43.5427335323766 48 29 3.02728414535522 95 54 26.6657283063978 60 63 61.964304652065 96 2019-02-20 "Cuenta 4" "Productor 2" "Centro 4"
"52" 419 "Garnet Dooley" 362 368 154 94 24.6798989363015 6 6 47.0208372687921 10 31 3.77495186403394 57 24 69.2275898065418 62 18 98.8022279925644 26 2019-02-21 "Cuenta 4" "Productor 1" "Centro 5"
"53" 72 "Elbert Haley" 534 549 225 97 144.185137702152 74 73 96.9368566060439 83 7 23.9958708873019 29 22 36.5957158152014 2 14 4.09710595849901 84 2019-02-22 "Cuenta 1" "Productor 1" "Centro 5"
"54" 306 "Jaelynn Reichel" 221 578 212 189 119.596116663888 35 48 73.9249140257016 76 39 79.371417267248 70 98 99.055640026927 15 79 82.873935601674 85 2019-02-23 "Cuenta 3" "Productor 3" "Centro 2"
"55" 600 "Sigmund West" 490 556 158 73 6.39317096211016 99 22 19.562051538378 34 66 59.0583061100915 79 53 54.4809837825596 87 63 21.2885594461113 4 2019-02-24 "Cuenta 3" "Productor 4" "Centro 2"
"56" 25 "Mrs. Briley Eichmann DVM" 88 537 30 28 4.48469086550176 21 47 38.8765578856692 41 85 87.9503801465034 52 14 20.0402935268357 38 70 39.6525212563574 70 2019-02-25 "Cuenta 2" "Productor 3" "Centro 1"
"57" 521 "Claudia Stehr PhD" 494 20 77 52 172.390085458755 15 38 86.8238518713042 27 27 32.8470824984834 45 28 77.1204841556028 90 88 87.3640264617279 27 2019-02-26 "Cuenta 2" "Productor 3" "Centro 5"
"58" 213 "Justin Crona" 285 54 280 67 188.580453814939 82 78 4.95127649046481 54 88 81.1324580339715 7 97 85.0770599208772 32 26 44.6990901604295 24 2019-02-27 "Cuenta 5" "Productor 2" "Centro 2"
"59" 172 "Cheri Morissette-Lynch" 356 502 55 24 84.44869434461 26 1 42.1900782501325 74 62 54.0503517724574 99 31 95.1398094883189 12 64 86.0044575529173 26 2019-02-28 "Cuenta 2" "Productor 1" "Centro 5"
"60" 6 "Carlo Rohan" 204 368 282 11 130.504915723577 59 95 92.357210884802 30 1 32.3974208207801 28 61 66.1092714173719 82 6 94.1481717862189 23 2019-03-01 "Cuenta 5" "Productor 3" "Centro 2"
"61" 123 "Mrs. Marvel Tremblay DVM" 198 570 52 45 182.074564928189 19 5 52.7138169622049 15 63 73.1306683272123 80 38 39.7543308557943 95 16 89.7734367987141 74 2019-03-02 "Cuenta 4" "Productor 1" "Centro 5"
"62" 514 "Carlie Cummings" 113 396 59 30 151.398190762848 43 89 9.43184916395694 41 94 57.4941606028005 80 100 29.9439545953646 16 87 43.3471213560551 86 2019-03-03 "Cuenta 4" "Productor 1" "Centro 2"
"63" 229 "Sable Rutherford" 253 222 125 20 31.8168085534126 28 20 0.48519482370466 43 42 12.0264804223552 96 64 15.2229542843997 43 8 28.1925392802805 70 2019-03-04 "Cuenta 5" "Productor 3" "Centro 3"
"64" 531 "Grecia Littel" 309 327 93 109 39.1949584707618 38 91 13.6989376973361 2 55 31.4548831200227 60 17 21.6903248801827 22 47 14.8935894947499 26 2019-03-05 "Cuenta 5" "Productor 2" "Centro 1"
"65" 438 "Franco Runolfsdottir-Hoppe" 544 282 266 133 91.8190916068852 66 54 62.6358948182315 8 0 57.7317136339843 70 3 47.3536780336872 64 24 43.4196894522756 62 2019-03-06 "Cuenta 2" "Productor 5" "Centro 3"
"66" 272 "Hessie Bradtke-Adams" 120 78 106 84 25.7252331357449 34 68 0.283986213617027 31 88 32.4264568043873 99 23 57.6764143770561 71 59 42.8765576798469 9 2019-03-07 "Cuenta 2" "Productor 1" "Centro 2"
"67" 278 "Foy McKenzie" 203 454 194 109 106.113397562876 88 42 21.7425461858511 64 40 28.0872315866873 74 76 48.8533673109487 9 77 96.2301433319226 68 2019-03-08 "Cuenta 4" "Productor 4" "Centro 5"
"68" 387 "Ryland Reichel" 185 11 25 120 154.496276983991 37 41 82.3628159239888 85 77 27.9399072518572 19 67 3.56564726680517 78 82 61.5573288174346 50 2019-03-09 "Cuenta 4" "Productor 4" "Centro 3"
"69" 17 "Willy Bergnaum I" 193 259 21 116 80.6761691812426 52 48 28.4957779105753 20 30 58.8897460605949 64 93 30.6119169807062 31 36 28.4953319467604 5 2019-03-10 "Cuenta 3" "Productor 5" "Centro 1"
"70" 360 "Dr. Floy Kertzmann" 291 379 38 33 36.0735241323709 3 13 11.7392911575735 24 52 7.30022180359811 1 94 86.3601943245158 25 64 40.5300250742584 45 2019-03-11 "Cuenta 1" "Productor 2" "Centro 1"
"71" 497 "Sherrill Kovacek DVM" 517 129 259 100 92.9549170192331 95 38 53.72546215076 24 51 5.24813963565975 75 90 51.3037445722148 15 67 45.7248990191147 22 2019-03-12 "Cuenta 1" "Productor 1" "Centro 5"
"72" 84 "Mrs. Tillie Sipes" 419 323 225 103 119.194096233696 83 14 12.1660777367651 40 31 10.3477862197906 21 74 89.6392291644588 45 78 51.3338274555281 98 2019-03-13 "Cuenta 2" "Productor 2" "Centro 4"
"73" 306 "Pricilla Runolfsson" 288 84 69 117 10.9541380777955 27 37 31.9888278376311 2 28 56.8417904432863 5 100 43.312530242838 61 59 81.9334408966824 36 2019-03-14 "Cuenta 4" "Productor 2" "Centro 3"
"74" 382 "Jase Bartell" 427 446 230 34 144.575295317918 58 16 37.7861026208848 89 44 87.1233080979437 26 26 40.8608583034948 34 97 64.2153873573989 14 2019-03-15 "Cuenta 2" "Productor 5" "Centro 4"
"75" 259 "Maralyn Hirthe-Macejkovic" 170 72 137 113 17.7706989925355 85 67 10.6396960560232 93 13 31.0370862483978 15 26 11.6703254869208 99 32 44.1149196820334 51 2019-03-16 "Cuenta 5" "Productor 4" "Centro 5"
"76" 464 "Kennith Moen" 76 251 13 41 25.5967909935862 72 12 52.6240510167554 17 30 56.5741856349632 97 10 66.2975812098011 60 11 72.0063833054155 54 2019-03-17 "Cuenta 5" "Productor 1" "Centro 2"
"77" 66 "Earley Spinka" 549 478 294 197 81.5167295746505 65 88 54.5962890144438 67 4 38.1810461869463 66 46 44.9295170139521 48 55 53.2762579387054 13 2019-03-18 "Cuenta 1" "Productor 5" "Centro 4"
"78" 493 "Idabelle Herman-Bernier" 414 234 178 85 106.161422794685 83 3 33.9747985824943 68 72 37.0409314054996 53 100 96.182898664847 7 28 72.7522021858022 48 2019-03-19 "Cuenta 1" "Productor 5" "Centro 1"
"79" 157 "Shalon Moore" 562 19 298 59 18.2818802539259 35 26 51.9688022555783 63 89 56.4422537107021 16 20 25.1498536206782 19 22 80.6326660560444 58 2019-03-20 "Cuenta 3" "Productor 1" "Centro 2"
"80" 177 "Burrell Hilpert" 239 120 49 54 142.261901684105 91 32 5.38733000867069 7 62 52.5246718199924 60 48 46.0562630789354 83 87 82.2584548266605 70 2019-03-21 "Cuenta 1" "Productor 3" "Centro 2"
"81" 378 "Dr. Pat Schoen I" 126 186 71 176 98.0608824640512 11 47 54.578984179534 44 36 73.1346237007529 22 28 1.44363718573004 51 34 10.1771740941331 44 2019-03-22 "Cuenta 4" "Productor 2" "Centro 4"
"82" 42 "Ms. Essence Gibson" 562 510 159 176 120.683746179566 67 96 87.0963563211262 58 25 10.5674079619348 21 98 13.1586664821953 76 28 18.0399283766747 26 2019-03-23 "Cuenta 1" "Productor 5" "Centro 4"
"83" 134 "Kendal DuBuque" 455 462 47 13 71.1355531588197 69 94 37.1507350122556 1 3 59.2203682055697 81 49 35.5197200085968 64 23 30.895190150477 21 2019-03-24 "Cuenta 4" "Productor 5" "Centro 3"
"84" 552 "Miss Dani Farrell PhD" 85 418 244 72 199.7907795012 25 37 50.9126223623753 50 62 77.4944997858256 32 38 19.7940898360685 81 55 62.1917242649943 97 2019-03-25 "Cuenta 3" "Productor 1" "Centro 5"
"85" 288 "Mr. Archer Schuppe" 485 348 81 136 22.4352144636214 91 20 70.9522787481546 56 41 96.7483579879627 99 83 9.95629639364779 19 65 90.0676779448986 48 2019-03-26 "Cuenta 5" "Productor 1" "Centro 5"
"86" 353 "Arjun Ferry" 86 294 42 68 47.156765544787 31 87 91.6699600638822 87 41 68.9562802668661 57 14 15.4171600705013 4 68 65.4583919327706 6 2019-03-27 "Cuenta 1" "Productor 2" "Centro 5"
"87" 150 "Mrs. Maeve Bailey DDS" 192 335 70 168 115.64622358419 100 73 92.8115730872378 100 14 97.2784156911075 80 38 94.5397069677711 82 27 15.1122603099793 15 2019-03-28 "Cuenta 5" "Productor 2" "Centro 1"
"88" 220 "Rodrigo Hackett" 187 302 221 29 22.8675452060997 28 95 88.7013009050861 3 27 1.27511564642191 90 48 6.72077226918191 88 21 95.2945036347955 82 2019-03-29 "Cuenta 1" "Productor 4" "Centro 1"
"89" 231 "Fenton Hackett" 404 213 95 151 103.692207532004 22 70 63.6665223632008 56 100 83.7351969908923 64 77 58.7898596655577 71 52 33.6519665084779 41 2019-03-30 "Cuenta 1" "Productor 3" "Centro 2"
"90" 554 "Mrs. Karan DuBuque DVM" 167 360 76 102 62.2196714393795 14 64 15.059827780351 53 76 10.988991940394 99 93 75.0852159224451 96 25 43.5121214715764 5 2019-03-31 "Cuenta 3" "Productor 2" "Centro 1"
"91" 454 "Dr. Cameron Upton DVM" 337 390 164 155 10.143569810316 25 5 69.8078302666545 33 91 9.23907670658082 87 3 76.7685116268694 35 69 57.174451649189 100 2019-04-01 "Cuenta 1" "Productor 5" "Centro 4"
"92" 402 "Kurtis Miller" 446 598 133 153 26.9025519024581 65 70 89.9065882433206 45 32 80.651566805318 28 2 80.9417485725135 26 88 65.9775763517246 91 2019-04-02 "Cuenta 3" "Productor 3" "Centro 5"
"93" 509 "Mrs. Maranda Mills" 337 272 198 192 21.590026980266 51 76 36.7394983302802 93 83 12.4977753031999 39 51 0.528880907222629 73 18 94.476140011102 63 2019-04-03 "Cuenta 5" "Productor 4" "Centro 5"
"94" 208 "Tobias Bernier" 571 25 158 175 181.050290819257 34 51 46.3690086267889 18 65 67.1570454258472 48 60 13.9639189001173 73 86 79.7094623325393 34 2019-04-04 "Cuenta 3" "Productor 1" "Centro 1"
"95" 277 "Paige Kulas" 337 403 69 95 37.6252547372133 43 36 94.6809977758676 32 25 21.787064592354 7 71 72.18637985643 38 9 4.17349783238024 65 2019-04-05 "Cuenta 3" "Productor 2" "Centro 5"
"96" 272 "Ms. Almina Vandervort" 358 405 262 61 37.0390786323696 32 34 38.8342910911888 37 92 81.7332128761336 77 20 74.8049584915861 66 31 11.1819569952786 3 2019-04-06 "Cuenta 2" "Productor 3" "Centro 2"
"97" 259 "Hamp Armstrong" 268 312 166 134 19.333589496091 72 23 3.72600380796939 5 64 78.317025420256 97 29 31.0298806289211 40 89 0.85768373683095 89 2019-04-07 "Cuenta 2" "Productor 1" "Centro 4"
"98" 5 "Retha Block MD" 474 262 240 39 171.429504686967 7 14 97.4051749799401 59 83 47.8498261189088 64 73 62.0481014950201 99 93 17.6734020002186 29 2019-04-08 "Cuenta 2" "Productor 1" "Centro 2"
"99" 372 "Reynolds Kihn" 76 130 243 18 167.691419180483 93 52 2.34877818729728 26 75 40.2489677304402 0 75 80.3495330968872 4 58 59.2010999331251 33 2019-04-09 "Cuenta 5" "Productor 5" "Centro 1"
"100" 86 "Rosendo Streich" 266 250 237 112 70.0561572331935 10 21 63.5529433377087 80 97 84.7632125718519 98 71 89.3766259541735 62 24 47.9671955341473 9 2019-04-10 "Cuenta 4" "Productor 4" "Centro 5"
"101" 529 "Ms. Kathern Schowalter DVM" 284 461 153 144 148.598553519696 61 33 76.33774606511 79 6 30.3110881941393 37 53 58.0833984538913 1 34 68.9362953882664 85 2019-04-11 "Cuenta 1" "Productor 2" "Centro 5"
"102" 214 "Easton O'Kon" 241 25 121 1 188.114373665303 28 12 89.0110860345885 0 78 2.95127767603844 18 74 22.178684733808 7 77 50.7067322032526 2 2019-04-12 "Cuenta 2" "Productor 1" "Centro 1"
"103" 153 "Brook Russel" 166 424 25 0 96.043147565797 58 67 71.9779496081173 93 54 49.7957863146439 8 63 67.5689674913883 90 25 55.4549789521843 26 2019-04-13 "Cuenta 4" "Productor 2" "Centro 3"
"104" 525 "Chauncey Rau" 448 174 118 137 190.092184673995 82 88 87.711569480598 37 16 69.7687115520239 12 83 12.0302907424048 55 78 81.8609469104558 72 2019-04-14 "Cuenta 5" "Productor 3" "Centro 3"
"105" 489 "Buffy Schulist" 593 234 99 143 13.7241132557392 65 54 66.8876173906028 8 56 82.6021843124181 27 19 13.3346626535058 17 12 27.6598362484947 4 2019-04-15 "Cuenta 2" "Productor 3" "Centro 2"
"106" 324 "Lourdes Volkman" 585 202 117 126 26.4871632680297 16 6 57.1340307360515 4 75 91.2235306110233 38 23 32.0674549555406 55 69 8.149891695939 78 2019-04-16 "Cuenta 4" "Productor 3" "Centro 1"
"107" 339 "Pascal Boyer-O'Reilly" 516 104 62 55 153.311513457447 2 62 12.8876409726217 2 71 6.74748555757105 79 53 91.5003990521654 10 23 64.2918936908245 16 2019-04-17 "Cuenta 2" "Productor 3" "Centro 3"
"108" 141 "Ronna Leffler" 569 467 153 123 121.506839990616 16 65 61.4871185971424 63 14 75.6417314056307 100 48 15.1094928616658 89 24 79.4689662987366 47 2019-04-18 "Cuenta 1" "Productor 2" "Centro 4"
"109" 433 "Claudie Klein" 588 39 59 21 22.0150505658239 6 23 80.031052348204 27 100 13.9592884108424 84 100 49.8591293813661 80 57 92.7314842818305 12 2019-04-19 "Cuenta 3" "Productor 3" "Centro 5"
"110" 374 "Dr. Cecelia Reichert" 452 560 231 13 72.1804600208998 77 70 56.6698120208457 76 9 74.9760645674542 97 56 5.08522023446858 59 54 46.1692016106099 98 2019-04-20 "Cuenta 5" "Productor 3" "Centro 2"
"111" 80 "Victor Larson" 210 160 20 72 179.089044732973 23 42 28.5310764797032 61 61 79.8404320841655 30 73 39.6896652877331 11 67 52.3066631751135 15 2019-04-21 "Cuenta 1" "Productor 3" "Centro 4"
"112" 267 "Emery Weissnat" 20 45 159 138 52.7452390175313 48 63 92.3402886837721 65 47 70.1438074931502 26 36 85.9945049742237 62 60 15.7832281198353 86 2019-04-22 "Cuenta 5" "Productor 2" "Centro 2"
"113" 430 "Justyn Kassulke Sr." 98 309 294 134 137.210950115696 69 65 10.63836007379 68 85 37.9738401388749 100 95 49.1060258820653 9 63 83.2683922722936 18 2019-04-23 "Cuenta 4" "Productor 5" "Centro 5"
"114" 265 "Dr. Shyla Stracke PhD" 534 453 249 94 46.077033597976 51 96 11.2994651542976 9 82 93.4800312621519 37 55 31.8978622788563 29 4 39.2097814707085 58 2019-04-24 "Cuenta 4" "Productor 4" "Centro 2"
"115" 585 "Marva Beier" 118 285 5 49 53.2097260002047 22 27 37.2892419574782 19 86 76.6519634285942 69 59 39.303493173793 46 17 1.65396616794169 0 2019-04-25 "Cuenta 4" "Productor 5" "Centro 5"
"116" 154 "Miss Norene Schmidt DVM" 35 473 215 17 136.969003081322 2 79 70.2527167741209 26 55 39.1426588175818 55 28 72.8148904861882 22 76 63.6298544006422 73 2019-04-26 "Cuenta 5" "Productor 1" "Centro 1"
"117" 579 "Lakeshia O'Keefe-Cormier" 511 317 181 171 67.5212903879583 31 49 66.0711979260668 96 67 16.4521102793515 29 18 3.57710083480924 95 98 28.2003008760512 71 2019-04-27 "Cuenta 3" "Productor 1" "Centro 5"
