"Código Productor" "Nombre Productor" "Pólizas Auto" "% Ppto Auto" "Cartera Activa Auto" "Pólizas Fianza" "% Ppto Fianza" "Cartera Activa Fianza" "Pólizas Patrimoniales" "% Ppto Patrimoniales" "Cartera Activa Patrimoniales" "Pólizas Personas" "% Ppto Personas" "Cartera Activa Personas" "Pólizas Salud" "% Ppto Salud" "Cartera Activa Salud" "Pólizas General" "% Ppto General" "Cartera Activa General" "Fecha" "centro_atencion" "cuentas_esp"
"91" 12 "Jenna Runolfsson PhD" 378 554.139747703448 107 136 42.7552307490259 59 1 111.866782978177 191 194 79.0306464768946 42 142 44.45741022937 126 45 96.7553410679102 60 2019-04-01 "Centro 4" "Cuenta 3"
"92" 126 "Torry Senger" 233 580.23381633684 142 36 113.819941366091 44 48 51.4752370771021 132 29 101.716111274436 54 31 20.6812331918627 27 166 14.0402325429022 162 2019-04-02 "Centro 5" "Cuenta 1"
"93" 358 "Raekwon Spencer" 44 519.247224228457 34 49 161.363321077079 8 19 23.9080388098955 19 224 43.3855451177806 23 27 103.549509448931 100 193 152.588863577694 180 2019-04-03 "Centro 4" "Cuenta 3"
"94" 93 "Shavon Jacobs" 286 231.878172978759 245 10 181.06395304203 8 53 24.5498397853225 277 127 184.922928269953 154 81 61.180567368865 16 144 18.3037879411131 14 2019-04-04 "Centro 1" "Cuenta 1"
"95" 23 "Cammie Turner" 307 395.910489186645 109 181 28.6808216013014 92 69 160.654169414192 97 62 192.220576154068 52 88 158.891073055565 107 31 6.09623058699071 95 2019-04-05 "Centro 3" "Cuenta 5"
"96" 378 "Marilee Schultz" 203 242.076886352152 214 193 78.2481546048075 83 87 161.088091833517 50 225 49.6418223716319 102 110 93.9791343640536 107 163 51.2709314003587 78 2019-04-06 "Centro 4" "Cuenta 1"
"97" 357 "Arne Kirlin" 510 268.722465354949 283 126 95.0992090627551 57 37 28.3950022887439 116 345 31.6664573270828 125 177 81.0146925039589 89 93 184.063701750711 17 2019-04-07 "Centro 1" "Cuenta 2"
"98" 320 "Jaidyn Reichel" 239 461.759657179937 32 117 188.792868843302 47 22 76.0726829059422 278 67 16.6848740540445 97 26 15.6398269813508 151 92 80.9398618992418 29 2019-04-08 "Centro 2" "Cuenta 4"
"99" 88 "Tracie Murphy" 104 39.8361367173493 196 70 153.754965960979 89 55 63.8152301777154 92 30 186.936307745054 36 156 80.6082153692842 128 121 136.100637726486 171 2019-04-09 "Centro 3" "Cuenta 4"
"100" 263 "Rayford Ziemann-Abshire" 194 384.695895155892 240 43 195.300059113652 54 94 29.4886416289955 111 328 57.1211825124919 173 133 51.5970615670085 78 180 169.189074682072 48 2019-04-10 "Centro 3" "Cuenta 2"
"101" 225 "Rebekah Wolf" 297 321.502513345331 85 53 122.991070058197 89 14 168.722305260599 4 331 16.6281844954938 108 57 129.172175657004 24 200 194.137036893517 117 2019-04-11 "Centro 4" "Cuenta 5"
"102" 344 "Jefferey Nader V" 23 533.129108743742 249 118 38.5166593827307 19 16 199.093430256471 246 73 82.2268803603947 199 70 125.254067778587 73 92 187.398846913129 161 2019-04-12 "Centro 1" "Cuenta 1"
"103" 98 "Jessy Langworth" 413 142.726510204375 40 157 188.570633949712 6 71 195.945411361754 267 362 165.016597183421 49 53 134.129370842129 79 182 142.758618341759 128 2019-04-13 "Centro 5" "Cuenta 4"
"104" 392 "Kaiya Luettgen" 15 128.819976048544 100 19 19.7079974226654 53 3 78.8168093189597 245 97 62.5089920591563 57 98 0.720181362703443 121 36 26.4692455064505 116 2019-04-14 "Centro 1" "Cuenta 3"
"105" 467 "Keegan Deckow" 354 67.8307900205255 106 76 140.698038740084 85 65 97.9114297777414 116 377 151.679163705558 173 74 119.855396077037 96 135 16.4608254097402 185 2019-04-15 "Centro 1" "Cuenta 2"
"106" 386 "Helena Schroeder MD" 419 465.20070838742 188 189 151.352019328624 9 66 40.1260293554515 38 56 192.645927332342 142 123 3.02729485556483 75 24 158.67305425927 25 2019-04-16 "Centro 3" "Cuenta 1"
"107" 167 "Demarion Jakubowski" 327 228.281765710562 34 171 38.6954520829022 34 8 165.449607511982 71 252 11.1435508355498 163 48 171.84049221687 50 19 170.25808468461 45 2019-04-17 "Centro 4" "Cuenta 1"
"108" 375 "Dereck Macejkovic" 562 144.230229221284 251 96 165.63626350835 82 81 152.833869634196 17 184 49.2191882804036 11 113 124.649520637468 87 77 26.7000880558044 12 2019-04-18 "Centro 1" "Cuenta 1"
"109" 369 "Gussie Kilback" 488 107.994504086673 296 121 68.8242032658309 27 40 88.488805713132 294 202 85.7392195612192 139 99 79.5816759578884 34 1 80.7676705997437 64 2019-04-19 "Centro 2" "Cuenta 1"
"110" 393 "Cass Mraz" 361 71.645467216149 134 35 174.68150886707 87 43 39.6071948576719 105 203 47.1859097015113 156 3 189.98690196313 65 79 132.640248537064 151 2019-04-20 "Centro 5" "Cuenta 4"
"111" 467 "Mignon Gutkowski-Weimann" 201 109.879031544551 37 124 69.2464155144989 96 52 136.654337169603 197 114 159.37863686122 40 184 152.254017814994 70 94 138.745456002653 142 2019-04-21 "Centro 2" "Cuenta 5"
"112" 276 "Mr. Orion Cummerata V" 576 43.681410793215 114 22 15.9194780047983 26 35 59.4207729678601 294 267 9.86063373275101 109 165 190.780241740867 172 52 101.760274963453 35 2019-04-22 "Centro 4" "Cuenta 1"
"113" 415 "Mr. Brendan Turner" 172 400.790484622121 101 155 145.375197194517 58 31 76.0771561414003 263 152 112.579943053424 164 193 71.8995711766183 50 121 173.074554651976 152 2019-04-23 "Centro 2" "Cuenta 4"
"114" 135 "Erica Veum" 23 461.411318136379 199 90 74.4819478597492 83 32 65.2060062624514 63 228 146.018900256604 187 102 37.9474959336221 94 47 173.952384199947 64 2019-04-24 "Centro 4" "Cuenta 2"
"115" 25 "Ingeborg Oberbrunner" 394 293.636875413358 183 27 61.9443311821669 75 27 108.6278275121 128 186 144.956756103784 178 19 68.9563181716949 196 40 123.510655015707 38 2019-04-25 "Centro 3" "Cuenta 4"
"116" 286 "Mearl Keeling" 338 144.26441481337 193 25 36.2263713032007 6 53 20.4183246940374 268 34 99.7805362567306 91 76 95.3791788779199 132 145 23.1441965326667 196 2019-04-26 "Centro 1" "Cuenta 5"
"117" 211 "Rhoda Rutherford PhD" 213 262.798417406157 70 188 12.5170807819813 60 33 118.496091011912 7 354 151.617591409013 93 59 62.2584447264671 128 36 127.061457000673 148 2019-04-27 "Centro 4" "Cuenta 3"
"118" 478 "Mikaila Boyle" 142 268.733632564545 72 82 109.134967811406 63 13 22.4992010742426 61 169 46.079706447199 188 183 106.175599480048 40 42 44.2381409928203 190 2019-04-28 "Centro 1" "Cuenta 4"
"119" 427 "Toya Torphy" 242 560.818373830989 132 21 162.851329287514 52 18 145.0036351569 19 396 99.1599088534713 70 117 172.891161963344 184 116 143.372583016753 32 2019-04-29 "Centro 1" "Cuenta 4"
"120" 317 "Salvatore King-Hoeger" 154 318.035358935595 111 13 133.832354890183 55 57 25.8431579917669 231 373 86.1207945737988 6 103 38.4283980820328 91 75 191.542000090703 118 2019-04-30 "Centro 5" "Cuenta 4"
