"Cliente" "Línea Negocio" "Póliza" "Prima Cobrada" "Fecha Suscipción" "Vigencia Desde" "Vigencia Hasta" "Prima Devengada" "Siniestros Pagados" "Siniestros Incurridos" "% Siniestralidad" "Fecha" "asesor"
"22" "Reta Hintz" "Auto" 291 437 2019-01-22 2019-02-01 2019-02-11 326 461 386 195.72907439433 2019-01-22 "Helena Wiegand"
"23" "Carmel Jacobs-Kovacek" "Auto" 588 442 2019-01-23 2019-02-02 2019-02-12 436 313 190 298.392487736419 2019-01-23 "Aurore Shields"
"24" "Mr. Whitney Considine" "Auto" 520 17 2019-01-24 2019-02-03 2019-02-13 492 493 424 262.977173784748 2019-01-24 "Lovie Kertzmann"
"25" "Denzil Douglas" "Salud" 259 529 2019-01-25 2019-02-04 2019-02-14 45 592 289 428.098564781249 2019-01-25 "Mrs. Domenica Kuphal"
"26" "Jiles Walker" "Salud" 576 496 2019-01-26 2019-02-05 2019-02-15 586 317 177 515.711439494044 2019-01-26 "Mrs. Sheri Rippin PhD"
"27" "Domenic Feil" "Auto" 187 340 2019-01-27 2019-02-06 2019-02-16 24 154 216 538.070931611583 2019-01-27 "Luana Tillman"
"28" "Rhea Daugherty" "Salud" 202 475 2019-01-28 2019-02-07 2019-02-17 588 558 483 165.816729934886 2019-01-28 "Mrs. Domenica Kuphal"
"29" "Lida Eichmann" "Patrimoniales" 44 135 2019-01-29 2019-02-08 2019-02-18 207 210 377 10.3789913468063 2019-01-29 "Miss Annis Ferry MD"
"30" "Moody Considine IV" "Salud" 207 78 2019-01-30 2019-02-09 2019-02-19 491 177 381 29.0187228005379 2019-01-30 "Helena Wiegand"
"31" "Sid Jast" "Auto" 299 389 2019-01-31 2019-02-10 2019-02-20 147 475 376 116.185973351821 2019-01-31 "Luana Tillman"
"32" "Mr. Toy Wiegand" "Patrimoniales" 485 471 2019-02-01 2019-02-11 2019-02-21 440 495 498 226.763894688338 2019-02-01 "Mell Terry-Schowalter"
"33" "Dr. Ember Ratke" "Auto" 494 251 2019-02-02 2019-02-12 2019-02-22 582 65 93 79.6719373203814 2019-02-02 "Luana Tillman"
"34" "Contina Purdy MD" "Auto" 256 496 2019-02-03 2019-02-13 2019-02-23 569 361 409 277.352156303823 2019-02-03 "Mrs. Domenica Kuphal"
"35" "Abigayle Rodriguez-Christiansen" "Auto" 275 156 2019-02-04 2019-02-14 2019-02-24 308 513 92 178.695688722655 2019-02-04 "Luana Tillman"
"36" "Constantine Heathcote" "Patrimoniales" 326 453 2019-02-05 2019-02-15 2019-02-25 87 555 85 153.793378639966 2019-02-05 "Mrs. Sheri Rippin PhD"
"37" "Damian Crist" "Personas" 92 424 2019-02-06 2019-02-16 2019-02-26 394 448 247 467.076050536707 2019-02-06 "Lovie Kertzmann"
"38" "Dr. Kathryn Howe DDS" "Patrimoniales" 281 593 2019-02-07 2019-02-17 2019-02-27 319 286 17 184.28160874173 2019-02-07 "Mell Terry-Schowalter"
"39" "Loris Conn" "Fianzas" 369 212 2019-02-08 2019-02-18 2019-02-28 298 3 437 439.180443249643 2019-02-08 "Mr. Garth Raynor"
"40" "Aaliyah Yost" "Patrimoniales" 316 444 2019-02-09 2019-02-19 2019-03-01 172 401 480 271.557151665911 2019-02-09 "Miss Annis Ferry MD"
"41" "Mr. Murry Hammes" "Salud" 52 49 2019-02-10 2019-02-20 2019-03-02 549 339 518 335.261524887756 2019-02-10 "Mell Terry-Schowalter"
"42" "Mr. Tyreke Wuckert" "Fianzas" 597 161 2019-02-11 2019-02-21 2019-03-03 175 44 205 118.872534390539 2019-02-11 "Luana Tillman"
"43" "Sheree Gulgowski PhD" "Auto" 471 451 2019-02-12 2019-02-22 2019-03-04 235 132 37 148.229959839955 2019-02-12 "Mell Terry-Schowalter"
"44" "Euna Mann" "Patrimoniales" 2 466 2019-02-13 2019-02-23 2019-03-05 376 347 228 39.8206955753267 2019-02-13 "Mell Terry-Schowalter"
"45" "Mr. Alton Boyle" "Patrimoniales" 488 195 2019-02-14 2019-02-24 2019-03-06 48 342 205 60.6225254014134 2019-02-14 "Mrs. Domenica Kuphal"
"46" "Debbie Russel" "Fianzas" 429 590 2019-02-15 2019-02-25 2019-03-07 542 458 221 183.496396802366 2019-02-15 "Helena Wiegand"
"47" "Miss Elyse Fisher" "Auto" 541 99 2019-02-16 2019-02-26 2019-03-08 589 387 31 259.601427800953 2019-02-16 "Aurore Shields"
"48" "Miss Achsah Purdy DDS" "Patrimoniales" 237 319 2019-02-17 2019-02-27 2019-03-09 355 73 360 320.099451765418 2019-02-17 "Mrs. Domenica Kuphal"
"49" "Analia Schmitt-Ondricka" "Patrimoniales" 96 54 2019-02-18 2019-02-28 2019-03-10 120 17 16 146.214538067579 2019-02-18 "Lovie Kertzmann"
"50" "Maliyah Donnelly" "Patrimoniales" 26 4 2019-02-19 2019-03-01 2019-03-11 9 133 401 585.368493245915 2019-02-19 "Helena Wiegand"
"51" "Christin Nader-Maggio" "Salud" 177 32 2019-02-20 2019-03-02 2019-03-12 89 197 9 261.807519430295 2019-02-20 "Lovie Kertzmann"
"52" "Brayan Murazik" "Patrimoniales" 540 100 2019-02-21 2019-03-03 2019-03-13 75 85 103 225.952195236459 2019-02-21 "Betsy Sporer PhD"
"53" "Paisley Emard" "Fianzas" 575 407 2019-02-22 2019-03-04 2019-03-14 375 317 8 186.371443094686 2019-02-22 "Lovie Kertzmann"
"54" "Holli Rosenbaum-Hauck" "Fianzas" 301 81 2019-02-23 2019-03-05 2019-03-15 360 134 322 286.487232428044 2019-02-23 "Luana Tillman"
"55" "Kristopher Luettgen" "Salud" 71 125 2019-02-24 2019-03-06 2019-03-16 328 36 351 345.04877650179 2019-02-24 "Lovie Kertzmann"
"56" "Raphael Olson" "Personas" 10 417 2019-02-25 2019-03-07 2019-03-17 353 287 154 537.673877226189 2019-02-25 "Betsy Sporer PhD"
"57" "India Crona" "Fianzas" 306 450 2019-02-26 2019-03-08 2019-03-18 478 539 229 458.266245760024 2019-02-26 "Helena Wiegand"
"58" "Valentino Bernier" "Fianzas" 209 118 2019-02-27 2019-03-09 2019-03-19 85 300 244 496.534764720127 2019-02-27 "Mell Terry-Schowalter"
"59" "Anderson Gutmann-Eichmann" "Fianzas" 189 16 2019-02-28 2019-03-10 2019-03-20 362 431 228 521.855898806825 2019-02-28 "Mrs. Sheri Rippin PhD"
"60" "Rennie Runolfsdottir" "Fianzas" 570 362 2019-03-01 2019-03-11 2019-03-21 488 215 176 536.871903436258 2019-03-01 "Miss Annis Ferry MD"
"61" "Mrs. Ota Sanford" "Salud" 383 358 2019-03-02 2019-03-12 2019-03-22 395 303 552 50.0686851795763 2019-03-02 "Helena Wiegand"
"62" "Manning Nader" "Auto" 535 111 2019-03-03 2019-03-13 2019-03-23 340 543 533 259.351021936163 2019-03-03 "Aurore Shields"
"63" "Daniele Johns" "Fianzas" 545 561 2019-03-04 2019-03-14 2019-03-24 558 555 485 3.43982074409723 2019-03-04 "Helena Wiegand"
"64" "Gayle Boehm MD" "Fianzas" 472 415 2019-03-05 2019-03-15 2019-03-25 441 32 14 361.247287737206 2019-03-05 "Luana Tillman"
"65" "Lorenza Conroy" "Patrimoniales" 430 431 2019-03-06 2019-03-16 2019-03-26 15 480 192 54.7678194008768 2019-03-06 "Mrs. Domenica Kuphal"
"66" "Gertha Willms" "Fianzas" 65 409 2019-03-07 2019-03-17 2019-03-27 128 43 435 497.500675404444 2019-03-07 "Mell Terry-Schowalter"
"67" "Lambert Schowalter" "Salud" 142 212 2019-03-08 2019-03-18 2019-03-28 363 118 583 505.680726841092 2019-03-08 "Lovie Kertzmann"
"68" "Kristie Koelpin DDS" "Patrimoniales" 43 107 2019-03-09 2019-03-19 2019-03-29 449 15 183 3.64899784326553 2019-03-09 "Mrs. Sheri Rippin PhD"
"69" "Joy Oberbrunner" "Auto" 334 261 2019-03-10 2019-03-20 2019-03-30 315 543 266 459.936503693461 2019-03-10 "Mrs. Domenica Kuphal"
"70" "Dr. Bev Mante DDS" "Fianzas" 3 347 2019-03-11 2019-03-21 2019-03-31 559 427 578 203.042435226962 2019-03-11 "Betsy Sporer PhD"
"71" "Arleen Schultz" "Fianzas" 36 492 2019-03-12 2019-03-22 2019-04-01 591 352 78 65.5715611763299 2019-03-12 "Mrs. Sheri Rippin PhD"
"72" "Namon Luettgen" "Auto" 566 302 2019-03-13 2019-03-23 2019-04-02 180 125 418 480.012994911522 2019-03-13 "Luana Tillman"
"73" "Dr. Evelyne Rice" "Auto" 475 105 2019-03-14 2019-03-24 2019-04-03 515 112 29 196.489693131298 2019-03-14 "Lovie Kertzmann"
"74" "Lesley Heaney-Ledner" "Personas" 282 409 2019-03-15 2019-03-25 2019-04-04 130 348 78 450.256039062515 2019-03-15 "Lovie Kertzmann"
"75" "Miss Eugenia Muller" "Fianzas" 371 232 2019-03-16 2019-03-26 2019-04-05 316 473 481 570.7449615933 2019-03-16 "Betsy Sporer PhD"
"76" "Terra Yost" "Salud" 116 109 2019-03-17 2019-03-27 2019-04-06 268 190 512 571.630583982915 2019-03-17 "Aurore Shields"
"77" "Dr. Leopold Reinger Sr." "Salud" 84 111 2019-03-18 2019-03-28 2019-04-07 121 166 204 357.033633766696 2019-03-18 "Mr. Garth Raynor"
"78" "Carmella Kassulke DDS" "Patrimoniales" 20 591 2019-03-19 2019-03-29 2019-04-08 347 296 470 436.111592967063 2019-03-19 "Mrs. Sheri Rippin PhD"
"79" "Gino Koch Sr." "Patrimoniales" 561 196 2019-03-20 2019-03-30 2019-04-09 38 347 76 466.630973713472 2019-03-20 "Helena Wiegand"
"80" "Skye Legros" "Fianzas" 563 421 2019-03-21 2019-03-31 2019-04-10 578 510 142 160.968168452382 2019-03-21 "Helena Wiegand"
"81" "Eustace Cummings" "Salud" 46 590 2019-03-22 2019-04-01 2019-04-11 248 311 272 492.609813529998 2019-03-22 "Miss Annis Ferry MD"
"82" "Argie Swaniawski" "Patrimoniales" 250 572 2019-03-23 2019-04-02 2019-04-12 150 598 171 299.276147922501 2019-03-23 "Mell Terry-Schowalter"
"83" "Stonewall Mann II" "Fianzas" 165 157 2019-03-24 2019-04-03 2019-04-13 550 514 241 112.375023867935 2019-03-24 "Mr. Garth Raynor"
"84" "Cecile Walker-Tillman" "Auto" 68 217 2019-03-25 2019-04-04 2019-04-14 286 233 597 115.171517198905 2019-03-25 "Lovie Kertzmann"
"85" "Joell Ernser" "Fianzas" 9 205 2019-03-26 2019-04-05 2019-04-15 488 417 295 595.564579451457 2019-03-26 "Miss Annis Ferry MD"
"86" "Louie Herzog" "Fianzas" 490 55 2019-03-27 2019-04-06 2019-04-16 202 272 459 598.853647895157 2019-03-27 "Mrs. Domenica Kuphal"
"87" "Mr. Domingo Rolfson" "Auto" 48 66 2019-03-28 2019-04-07 2019-04-17 537 399 26 364.376656478271 2019-03-28 "Mr. Garth Raynor"
"88" "Rico Hartmann" "Fianzas" 434 442 2019-03-29 2019-04-08 2019-04-18 179 13 383 457.278373232111 2019-03-29 "Betsy Sporer PhD"
"89" "Stella Windler" "Salud" 42 54 2019-03-30 2019-04-09 2019-04-19 231 180 444 537.854994647205 2019-03-30 "Miss Annis Ferry MD"
"90" "Dr. Tiera Hane DDS" "Salud" 167 80 2019-03-31 2019-04-10 2019-04-20 165 199 391 296.028097858652 2019-03-31 "Mr. Garth Raynor"
"91" "Mr. Orion Haley III" "Fianzas" 173 495 2019-04-01 2019-04-11 2019-04-21 530 563 370 589.717064984143 2019-04-01 "Betsy Sporer PhD"
"92" "Cleve Jenkins" "Salud" 177 274 2019-04-02 2019-04-12 2019-04-22 427 408 291 182.415232574567 2019-04-02 "Luana Tillman"
"93" "Adalynn Kautzer" "Salud" 417 511 2019-04-03 2019-04-13 2019-04-23 569 552 271 566.325903777033 2019-04-03 "Helena Wiegand"
"94" "Shayla West-Labadie" "Fianzas" 413 286 2019-04-04 2019-04-14 2019-04-24 90 176 386 59.6960823051631 2019-04-04 "Mrs. Sheri Rippin PhD"
"95" "Kenton Kunze" "Patrimoniales" 239 240 2019-04-05 2019-04-15 2019-04-25 596 406 504 417.791981622577 2019-04-05 "Mrs. Sheri Rippin PhD"
"96" "Rylee Armstrong-Bauch" "Auto" 116 137 2019-04-06 2019-04-16 2019-04-26 315 288 120 120.814351458102 2019-04-06 "Lovie Kertzmann"
"97" "Alexandre Bashirian" "Patrimoniales" 407 553 2019-04-07 2019-04-17 2019-04-27 330 169 170 157.990731066093 2019-04-07 "Mell Terry-Schowalter"
"98" "Mrs. Bennie Gusikowski" "Patrimoniales" 558 28 2019-04-08 2019-04-18 2019-04-28 470 321 40 532.110880175605 2019-04-08 "Mrs. Domenica Kuphal"
"99" "Quintin Lueilwitz-Ratke" "Patrimoniales" 383 239 2019-04-09 2019-04-19 2019-04-29 538 146 460 243.950342014432 2019-04-09 "Helena Wiegand"
"100" "Kane Auer-Rippin" "Personas" 446 59 2019-04-10 2019-04-20 2019-04-30 119 497 290 227.753359219059 2019-04-10 "Mell Terry-Schowalter"
"101" "Santo Lehner" "Salud" 413 411 2019-04-11 2019-04-21 2019-05-01 505 22 266 58.1410629674792 2019-04-11 "Mrs. Domenica Kuphal"
"102" "Mrs. Marjorie Price" "Fianzas" 432 201 2019-04-12 2019-04-22 2019-05-02 372 495 142 389.037631871179 2019-04-12 "Aurore Shields"
"103" "Carl Smitham" "Fianzas" 76 130 2019-04-13 2019-04-23 2019-05-03 0 103 468 158.517970656976 2019-04-13 "Mell Terry-Schowalter"
"104" "Amiah Borer" "Patrimoniales" 550 225 2019-04-14 2019-04-24 2019-05-04 420 527 438 74.020148254931 2019-04-14 "Lovie Kertzmann"
"105" "Whitley Heidenreich DVM" "Personas" 248 441 2019-04-15 2019-04-25 2019-05-05 68 332 597 576.052887411788 2019-04-15 "Mrs. Sheri Rippin PhD"
"106" "Ms. Malia Breitenberg DDS" "Patrimoniales" 270 68 2019-04-16 2019-04-26 2019-05-06 465 235 405 221.988608781248 2019-04-16 "Betsy Sporer PhD"
"107" "Jaidyn Quigley" "Auto" 183 279 2019-04-17 2019-04-27 2019-05-07 598 513 133 45.9373771212995 2019-04-17 "Mell Terry-Schowalter"
"108" "Tia Goldner" "Auto" 306 254 2019-04-18 2019-04-28 2019-05-08 540 448 387 280.93817057088 2019-04-18 "Miss Annis Ferry MD"
"109" "Dorathy Gusikowski" "Personas" 182 145 2019-04-19 2019-04-29 2019-05-09 549 228 122 222.241116408259 2019-04-19 "Miss Annis Ferry MD"
"110" "Mrs. Jossie Willms" "Personas" 369 553 2019-04-20 2019-04-30 2019-05-10 1 579 179 256.99251559563 2019-04-20 "Mell Terry-Schowalter"
"111" "Dorthea Jakubowski-Jaskolski" "Auto" 358 122 2019-04-21 2019-05-01 2019-05-11 425 200 458 87.865938898176 2019-04-21 "Mr. Garth Raynor"
"112" "Juanita Tremblay" "Fianzas" 222 590 2019-04-22 2019-05-02 2019-05-12 518 479 315 484.517187718302 2019-04-22 "Luana Tillman"
"113" "Ms. Rosia Conn" "Patrimoniales" 552 115 2019-04-23 2019-05-03 2019-05-13 109 375 341 429.813405079767 2019-04-23 "Aurore Shields"
"114" "Arnulfo Weber PhD" "Auto" 201 199 2019-04-24 2019-05-04 2019-05-14 442 333 536 382.117394031957 2019-04-24 "Betsy Sporer PhD"
"115" "Miss Elta Leuschke" "Auto" 123 399 2019-04-25 2019-05-05 2019-05-15 345 384 326 209.450697340071 2019-04-25 "Luana Tillman"
"116" "Dr. Meyer Kovacek" "Salud" 15 50 2019-04-26 2019-05-06 2019-05-16 570 491 163 97.3479387816042 2019-04-26 "Mr. Garth Raynor"
"117" "Gerry Rippin" "Auto" 236 168 2019-04-27 2019-05-07 2019-05-17 297 70 450 217.203032411635 2019-04-27 "Mr. Garth Raynor"
"118" "Stephani Watsica" "Fianzas" 235 562 2019-04-28 2019-05-08 2019-05-18 94 365 501 34.627439500764 2019-04-28 "Miss Annis Ferry MD"
"119" "Jameson Wiegand" "Fianzas" 27 568 2019-04-29 2019-05-09 2019-05-19 400 566 326 310.134422639385 2019-04-29 "Helena Wiegand"
"120" "Osvaldo Stamm" "Salud" 395 60 2019-04-30 2019-05-10 2019-05-20 417 173 519 101.146467961371 2019-04-30 "Helena Wiegand"
"121" "Dr. Florance Heidenreich" "Fianzas" 539 140 2019-05-01 2019-05-11 2019-05-21 436 218 56 386.877394840121 2019-05-01 "Aurore Shields"
"122" "Ms. Tammie Luettgen DDS" "Salud" 269 467 2019-05-02 2019-05-12 2019-05-22 485 204 296 414.522873004898 2019-05-02 "Lovie Kertzmann"
"123" "Salma VonRueden" "Auto" 325 350 2019-05-03 2019-05-13 2019-05-23 92 498 152 9.53083718195558 2019-05-03 "Luana Tillman"
"124" "Karren Bergnaum" "Patrimoniales" 238 473 2019-05-04 2019-05-14 2019-05-24 133 274 443 27.6745734270662 2019-05-04 "Betsy Sporer PhD"
"125" "Jeanne Leuschke-Ryan" "Fianzas" 256 284 2019-05-05 2019-05-15 2019-05-25 43 411 413 50.2060433384031 2019-05-05 "Mrs. Sheri Rippin PhD"
"126" "Karley Weissnat" "Personas" 544 9 2019-05-06 2019-05-16 2019-05-26 121 500 336 424.161897785962 2019-05-06 "Mrs. Domenica Kuphal"
"127" "Ms. Eris Gusikowski" "Personas" 72 129 2019-05-07 2019-05-17 2019-05-27 12 253 441 188.627208676189 2019-05-07 "Aurore Shields"
"128" "Nannie O'Connell MD" "Auto" 24 216 2019-05-08 2019-05-18 2019-05-28 320 140 555 99.3694553151727 2019-05-08 "Mell Terry-Schowalter"
"129" "Ms. Tayla Klocko PhD" "Auto" 302 398 2019-05-09 2019-05-19 2019-05-29 365 78 326 351.572413416579 2019-05-09 "Miss Annis Ferry MD"
"130" "Odile Turcotte-Kassulke" "Fianzas" 471 498 2019-05-10 2019-05-20 2019-05-30 154 471 125 469.591271225363 2019-05-10 "Luana Tillman"
"131" "Jabez Klein" "Patrimoniales" 321 385 2019-05-11 2019-05-21 2019-05-31 316 272 172 163.176901917905 2019-05-11 "Betsy Sporer PhD"
"132" "Jaylah Feil" "Fianzas" 191 424 2019-05-12 2019-05-22 2019-06-01 471 241 307 486.661432217807 2019-05-12 "Miss Annis Ferry MD"
"133" "Madisyn Feest" "Fianzas" 54 504 2019-05-13 2019-05-23 2019-06-02 313 123 511 266.091835219413 2019-05-13 "Mrs. Domenica Kuphal"
"134" "Dr. Thaddeus Corkery III" "Fianzas" 66 449 2019-05-14 2019-05-24 2019-06-03 282 255 286 10.7810022309422 2019-05-14 "Mrs. Sheri Rippin PhD"
"135" "Colon Hermiston-Pfeffer" "Personas" 442 312 2019-05-15 2019-05-25 2019-06-04 11 453 375 312.555767130107 2019-05-15 "Miss Annis Ferry MD"
"136" "Olan Hirthe" "Patrimoniales" 331 390 2019-05-16 2019-05-26 2019-06-05 227 583 21 3.06658437475562 2019-05-16 "Mrs. Domenica Kuphal"
"137" "Aditya Leffler" "Auto" 358 259 2019-05-17 2019-05-27 2019-06-06 96 156 126 435.190352518111 2019-05-17 "Aurore Shields"
"138" "Ms. Debbi Jones" "Auto" 488 537 2019-05-18 2019-05-28 2019-06-07 577 130 307 343.97156573832 2019-05-18 "Mell Terry-Schowalter"
"139" "Yee Cartwright" "Patrimoniales" 521 579 2019-05-19 2019-05-29 2019-06-08 332 570 401 23.1477867811918 2019-05-19 "Miss Annis Ferry MD"
"140" "Erika Hilpert" "Fianzas" 111 481 2019-05-20 2019-05-30 2019-06-09 528 331 88 372.340742032975 2019-05-20 "Betsy Sporer PhD"
"141" "Ronnie Brekke" "Auto" 255 205 2019-05-21 2019-05-31 2019-06-10 64 354 352 527.076372178271 2019-05-21 "Aurore Shields"
"142" "Adella Bartell MD" "Auto" 265 599 2019-05-22 2019-06-01 2019-06-11 173 267 473 540.51826656796 2019-05-22 "Mr. Garth Raynor"
"143" "Claudio Jast" "Personas" 329 536 2019-05-23 2019-06-02 2019-06-12 267 426 16 449.346628133208 2019-05-23 "Betsy Sporer PhD"
"144" "Nikole Hirthe-Hoppe" "Salud" 432 584 2019-05-24 2019-06-03 2019-06-13 103 300 178 94.5842091925442 2019-05-24 "Helena Wiegand"
"145" "Rhiannon Schneider" "Salud" 389 97 2019-05-25 2019-06-04 2019-06-14 128 72 212 326.972408685833 2019-05-25 "Mell Terry-Schowalter"
"146" "Urijah Borer" "Salud" 510 567 2019-05-26 2019-06-05 2019-06-15 286 554 290 421.527304546908 2019-05-26 "Mrs. Domenica Kuphal"
"147" "Timothy Auer" "Salud" 145 569 2019-05-27 2019-06-06 2019-06-16 546 387 356 85.2064595092088 2019-05-27 "Luana Tillman"
"148" "Mrs. Mikaela Boyer DVM" "Auto" 297 294 2019-05-28 2019-06-07 2019-06-17 135 165 592 57.5601161923259 2019-05-28 "Lovie Kertzmann"
"149" "Junia Waters" "Fianzas" 192 175 2019-05-29 2019-06-08 2019-06-18 517 594 21 515.952682541683 2019-05-29 "Aurore Shields"
"150" "Akeem Ledner" "Patrimoniales" 155 172 2019-05-30 2019-06-09 2019-06-19 277 286 148 534.182008635253 2019-05-30 "Mrs. Sheri Rippin PhD"
"151" "Mr. Arley Treutel IV" "Patrimoniales" 204 32 2019-05-31 2019-06-10 2019-06-20 100 172 369 357.234632223845 2019-05-31 "Mell Terry-Schowalter"
"152" "Mr. Foy Fritsch" "Salud" 296 168 2019-06-01 2019-06-11 2019-06-21 127 487 554 422.549860691652 2019-06-01 "Mell Terry-Schowalter"
"153" "Leala Douglas" "Patrimoniales" 423 27 2019-06-02 2019-06-12 2019-06-22 139 300 163 569.587913202122 2019-06-02 "Mrs. Domenica Kuphal"
"154" "Beula Romaguera" "Fianzas" 447 585 2019-06-03 2019-06-13 2019-06-23 30 78 377 489.741251897067 2019-06-03 "Lovie Kertzmann"
"155" "Gaylen Schroeder" "Fianzas" 402 454 2019-06-04 2019-06-14 2019-06-24 385 341 84 545.624750386924 2019-06-04 "Mrs. Domenica Kuphal"
"156" "Ms. Jamie Wunsch PhD" "Salud" 264 252 2019-06-05 2019-06-15 2019-06-25 134 307 506 351.450554514304 2019-06-05 "Mrs. Sheri Rippin PhD"
"157" "Kiarra Mitchell" "Personas" 294 273 2019-06-06 2019-06-16 2019-06-26 122 122 92 319.855808559805 2019-06-06 "Betsy Sporer PhD"
"158" "Mavis Daugherty" "Patrimoniales" 309 401 2019-06-07 2019-06-17 2019-06-27 519 249 354 381.606563832611 2019-06-07 "Mell Terry-Schowalter"
"159" "Adolfo Ondricka" "Patrimoniales" 385 73 2019-06-08 2019-06-18 2019-06-28 281 169 356 99.779916414991 2019-06-08 "Aurore Shields"
"160" "Judie Treutel" "Salud" 534 199 2019-06-09 2019-06-19 2019-06-29 228 332 276 489.036295702681 2019-06-09 "Mell Terry-Schowalter"
"161" "Zaniyah Grimes" "Salud" 152 383 2019-06-10 2019-06-20 2019-06-30 317 572 317 259.11342096515 2019-06-10 "Aurore Shields"
"162" "Jazlyn Smitham" "Patrimoniales" 560 472 2019-06-11 2019-06-21 2019-07-01 500 85 52 166.656753793359 2019-06-11 "Luana Tillman"
"163" "Arlington Deckow" "Fianzas" 74 276 2019-06-12 2019-06-22 2019-07-02 486 555 185 221.522488212213 2019-06-12 "Helena Wiegand"
"164" "Adron Dicki" "Fianzas" 261 466 2019-06-13 2019-06-23 2019-07-03 470 240 77 196.929216245189 2019-06-13 "Luana Tillman"
"165" "Bolden Roberts" "Fianzas" 446 426 2019-06-14 2019-06-24 2019-07-04 78 383 6 537.096545426175 2019-06-14 "Mrs. Domenica Kuphal"
"166" "Adela Sipes" "Personas" 300 334 2019-06-15 2019-06-25 2019-07-05 249 464 258 199.031281052157 2019-06-15 "Lovie Kertzmann"
"167" "Denisse Bechtelar" "Auto" 96 140 2019-06-16 2019-06-26 2019-07-06 372 504 174 149.829259095713 2019-06-16 "Helena Wiegand"
"168" "Armstead Gerlach-Mann" "Auto" 595 166 2019-06-17 2019-06-27 2019-07-07 231 333 530 440.608833543956 2019-06-17 "Lovie Kertzmann"
