"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Comisión" "Fecha Inicio Vigencia" "Fecha Fin Vigencia" "Fecha" "productor" "cuentas_esp"
"26" "Centro 1" "Salud" "Salud" "Early Senger-Quitzon" 201 547 45 263 2019-02-05 2019-02-15 2019-01-26 "Productor 4" "Cuenta 5"
"27" "Centro 2" "Fianzas" "Fianzas" "Rodrigo Abshire-Gerhold" 98 437 117 379 2019-02-06 2019-02-16 2019-01-27 "Productor 3" "Cuenta 5"
"28" "Centro 4" "Salud" "Salud" "Chelsy Littel" 308 25 344 456 2019-02-07 2019-02-17 2019-01-28 "Productor 3" "Cuenta 4"
"29" "Centro 2" "Personas" "Personas" "Verna Lang" 570 362 293 122 2019-02-08 2019-02-18 2019-01-29 "Productor 5" "Cuenta 2"
"30" "Centro 5" "Salud" "Salud" "Alphonso Kulas PhD" 390 145 145 585 2019-02-09 2019-02-19 2019-01-30 "Productor 4" "Cuenta 1"
"31" "Centro 2" "Patrimoniales" "Patrimoniales" "Hedy Kub" 253 250 300 447 2019-02-10 2019-02-20 2019-01-31 "Productor 4" "Cuenta 4"
"32" "Centro 5" "Fianzas" "Fianzas" "Dr. Schley Ratke" 531 10 371 353 2019-02-11 2019-02-21 2019-02-01 "Productor 5" "Cuenta 2"
"33" "Centro 2" "Fianzas" "Fianzas" "Buren Klein-Daugherty" 520 501 501 246 2019-02-12 2019-02-22 2019-02-02 "Productor 3" "Cuenta 2"
"34" "Centro 4" "Fianzas" "Fianzas" "Wayne Fisher IV" 551 431 151 154 2019-02-13 2019-02-23 2019-02-03 "Productor 4" "Cuenta 5"
"35" "Centro 2" "Auto" "Auto" "Santana Will" 45 592 183 145 2019-02-14 2019-02-24 2019-02-04 "Productor 3" "Cuenta 5"
"36" "Centro 2" "Personas" "Personas" "Hezzie McDermott MD" 132 81 36 416 2019-02-15 2019-02-25 2019-02-05 "Productor 1" "Cuenta 2"
"37" "Centro 1" "Patrimoniales" "Patrimoniales" "Rosena Hamill" 487 159 45 166 2019-02-16 2019-02-26 2019-02-06 "Productor 2" "Cuenta 1"
"38" "Centro 1" "Fianzas" "Fianzas" "Miss Karyn Schinner" 546 277 595 195 2019-02-17 2019-02-27 2019-02-07 "Productor 1" "Cuenta 4"
"39" "Centro 1" "Auto" "Auto" "Daren Schroeder" 67 477 550 577 2019-02-18 2019-02-28 2019-02-08 "Productor 4" "Cuenta 1"
"40" "Centro 5" "Personas" "Personas" "Ms. Juliet Morar" 171 296 496 154 2019-02-19 2019-03-01 2019-02-09 "Productor 3" "Cuenta 1"
"41" "Centro 1" "Auto" "Auto" "Greene Haag" 185 444 213 323 2019-02-20 2019-03-02 2019-02-10 "Productor 2" "Cuenta 2"
"42" "Centro 4" "Personas" "Personas" "Patty Dietrich" 141 172 206 324 2019-02-21 2019-03-03 2019-02-11 "Productor 3" "Cuenta 2"
"43" "Centro 1" "Fianzas" "Fianzas" "Maryann Block" 414 392 97 132 2019-02-22 2019-03-04 2019-02-12 "Productor 5" "Cuenta 3"
"44" "Centro 2" "Auto" "Auto" "Alden Gerlach Jr." 193 165 5 415 2019-02-23 2019-03-05 2019-02-13 "Productor 2" "Cuenta 1"
"45" "Centro 3" "Auto" "Auto" "Ewald Lehner-Jacobson" 16 375 288 418 2019-02-24 2019-03-06 2019-02-14 "Productor 1" "Cuenta 2"
"46" "Centro 2" "Patrimoniales" "Patrimoniales" "Garold Cremin" 274 230 243 293 2019-02-25 2019-03-07 2019-02-15 "Productor 1" "Cuenta 2"
"47" "Centro 1" "Auto" "Auto" "Kathi Ritchie" 76 379 562 548 2019-02-26 2019-03-08 2019-02-16 "Productor 1" "Cuenta 2"
"48" "Centro 5" "Personas" "Personas" "Pratt Medhurst" 35 447 547 548 2019-02-27 2019-03-09 2019-02-17 "Productor 1" "Cuenta 5"
"49" "Centro 1" "Personas" "Personas" "Obed Braun-Kovacek" 596 264 146 285 2019-02-28 2019-03-10 2019-02-18 "Productor 2" "Cuenta 2"
"50" "Centro 4" "Patrimoniales" "Patrimoniales" "Chancy Gerlach-Adams" 538 51 197 542 2019-03-01 2019-03-11 2019-02-19 "Productor 2" "Cuenta 5"
"51" "Centro 5" "Patrimoniales" "Patrimoniales" "Mr. Fate Feil" 88 328 322 178 2019-03-02 2019-03-12 2019-02-20 "Productor 4" "Cuenta 4"
"52" "Centro 1" "Personas" "Personas" "Ms. Georgina Klein" 186 341 503 341 2019-03-03 2019-03-13 2019-02-21 "Productor 3" "Cuenta 2"
"53" "Centro 2" "Fianzas" "Fianzas" "Altha Ebert" 109 347 175 0 2019-03-04 2019-03-14 2019-02-22 "Productor 5" "Cuenta 5"
"54" "Centro 2" "Personas" "Personas" "Zaniyah Schultz-West" 55 106 474 369 2019-03-05 2019-03-15 2019-02-23 "Productor 1" "Cuenta 2"
"55" "Centro 2" "Personas" "Personas" "Elvis Corwin" 253 361 83 297 2019-03-06 2019-03-16 2019-02-24 "Productor 2" "Cuenta 4"
"56" "Centro 3" "Salud" "Salud" "Jean Denesik III" 587 596 585 293 2019-03-07 2019-03-17 2019-02-25 "Productor 3" "Cuenta 1"
"57" "Centro 4" "Personas" "Personas" "Gilmore Davis" 139 591 189 419 2019-03-08 2019-03-18 2019-02-26 "Productor 2" "Cuenta 3"
"58" "Centro 4" "Patrimoniales" "Patrimoniales" "Dr. Gillian Harber MD" 59 570 152 192 2019-03-09 2019-03-19 2019-02-27 "Productor 4" "Cuenta 1"
"59" "Centro 1" "Salud" "Salud" "Micah Howell V" 448 358 63 230 2019-03-10 2019-03-20 2019-02-28 "Productor 2" "Cuenta 2"
"60" "Centro 4" "Salud" "Salud" "Miss Helena Goldner" 25 57 55 301 2019-03-11 2019-03-21 2019-03-01 "Productor 3" "Cuenta 3"
"61" "Centro 3" "Salud" "Salud" "Marni Kautzer" 449 360 168 161 2019-03-12 2019-03-22 2019-03-02 "Productor 1" "Cuenta 3"
"62" "Centro 1" "Salud" "Salud" "Dr. Hank Rolfson PhD" 355 349 449 368 2019-03-13 2019-03-23 2019-03-03 "Productor 5" "Cuenta 1"
"63" "Centro 2" "Personas" "Personas" "Mr. Billie Keebler DVM" 161 370 221 104 2019-03-14 2019-03-24 2019-03-04 "Productor 3" "Cuenta 3"
"64" "Centro 3" "Patrimoniales" "Patrimoniales" "Miranda Roberts" 325 431 187 365 2019-03-15 2019-03-25 2019-03-05 "Productor 5" "Cuenta 5"
"65" "Centro 2" "Personas" "Personas" "Tyriq Strosin III" 223 295 527 217 2019-03-16 2019-03-26 2019-03-06 "Productor 1" "Cuenta 1"
"66" "Centro 4" "Salud" "Salud" "Lourdes Lehner MD" 193 509 550 533 2019-03-17 2019-03-27 2019-03-07 "Productor 3" "Cuenta 3"
"67" "Centro 5" "Fianzas" "Fianzas" "Natosha Luettgen" 180 363 74 379 2019-03-18 2019-03-28 2019-03-08 "Productor 4" "Cuenta 3"
"68" "Centro 2" "Auto" "Auto" "Cornelius Gusikowski" 287 563 599 479 2019-03-19 2019-03-29 2019-03-09 "Productor 2" "Cuenta 2"
"69" "Centro 2" "Auto" "Auto" "Arley Ankunding" 378 416 490 572 2019-03-20 2019-03-30 2019-03-10 "Productor 1" "Cuenta 1"
"70" "Centro 4" "Auto" "Auto" "Citlalli Bartoletti" 398 169 221 519 2019-03-21 2019-03-31 2019-03-11 "Productor 3" "Cuenta 2"
"71" "Centro 1" "Personas" "Personas" "Isa Becker" 59 394 485 431 2019-03-22 2019-04-01 2019-03-12 "Productor 3" "Cuenta 1"
"72" "Centro 3" "Patrimoniales" "Patrimoniales" "Marti Corwin" 466 366 40 538 2019-03-23 2019-04-02 2019-03-13 "Productor 5" "Cuenta 2"
"73" "Centro 4" "Salud" "Salud" "Ginny Bashirian" 350 120 304 584 2019-03-24 2019-04-03 2019-03-14 "Productor 5" "Cuenta 4"
"74" "Centro 3" "Patrimoniales" "Patrimoniales" "Mrs. Fatima Schneider" 1 397 2 195 2019-03-25 2019-04-04 2019-03-15 "Productor 3" "Cuenta 1"
"75" "Centro 4" "Personas" "Personas" "Faye Dicki" 335 4 163 597 2019-03-26 2019-04-05 2019-03-16 "Productor 1" "Cuenta 5"
"76" "Centro 2" "Personas" "Personas" "Pascal Wuckert" 504 257 318 489 2019-03-27 2019-04-06 2019-03-17 "Productor 5" "Cuenta 2"
"77" "Centro 4" "Personas" "Personas" "Mabell Morissette-Ledner" 588 178 524 476 2019-03-28 2019-04-07 2019-03-18 "Productor 3" "Cuenta 4"
"78" "Centro 2" "Patrimoniales" "Patrimoniales" "Chas Schiller" 305 411 335 335 2019-03-29 2019-04-08 2019-03-19 "Productor 1" "Cuenta 1"
"79" "Centro 5" "Salud" "Salud" "Ralph Bins-Hackett" 282 453 201 480 2019-03-30 2019-04-09 2019-03-20 "Productor 2" "Cuenta 3"
"80" "Centro 1" "Personas" "Personas" "Micayla Emard" 422 57 367 241 2019-03-31 2019-04-10 2019-03-21 "Productor 1" "Cuenta 1"
"81" "Centro 2" "Patrimoniales" "Patrimoniales" "Natalya Jakubowski" 286 416 428 2 2019-04-01 2019-04-11 2019-03-22 "Productor 1" "Cuenta 4"
"82" "Centro 3" "Fianzas" "Fianzas" "Symone Green" 175 187 472 153 2019-04-02 2019-04-12 2019-03-23 "Productor 5" "Cuenta 2"
"83" "Centro 5" "Personas" "Personas" "Colter Dare" 578 66 32 164 2019-04-03 2019-04-13 2019-03-24 "Productor 1" "Cuenta 4"
"84" "Centro 2" "Salud" "Salud" "Hardy Boehm" 455 418 37 134 2019-04-04 2019-04-14 2019-03-25 "Productor 5" "Cuenta 3"
"85" "Centro 5" "Fianzas" "Fianzas" "Dr. Jabez Cronin PhD" 546 323 506 567 2019-04-05 2019-04-15 2019-03-26 "Productor 4" "Cuenta 3"
"86" "Centro 4" "Salud" "Salud" "Rhona Cremin" 186 361 365 137 2019-04-06 2019-04-16 2019-03-27 "Productor 3" "Cuenta 1"
"87" "Centro 3" "Auto" "Auto" "Dr. Shep Farrell Sr." 223 210 528 220 2019-04-07 2019-04-17 2019-03-28 "Productor 4" "Cuenta 4"
"88" "Centro 1" "Patrimoniales" "Patrimoniales" "Minervia Ryan" 585 500 357 554 2019-04-08 2019-04-18 2019-03-29 "Productor 1" "Cuenta 5"
"89" "Centro 5" "Fianzas" "Fianzas" "Patience Gaylord" 241 381 405 218 2019-04-09 2019-04-19 2019-03-30 "Productor 1" "Cuenta 2"
"90" "Centro 2" "Patrimoniales" "Patrimoniales" "Odie O'Kon" 402 254 586 479 2019-04-10 2019-04-20 2019-03-31 "Productor 5" "Cuenta 4"
"91" "Centro 1" "Fianzas" "Fianzas" "Ivette Bartoletti" 577 230 20 333 2019-04-11 2019-04-21 2019-04-01 "Productor 2" "Cuenta 5"
"92" "Centro 3" "Salud" "Salud" "Mrs. Lyndia Mraz MD" 253 216 361 589 2019-04-12 2019-04-22 2019-04-02 "Productor 1" "Cuenta 4"
"93" "Centro 4" "Personas" "Personas" "Stanford Bogisich" 159 20 425 85 2019-04-13 2019-04-23 2019-04-03 "Productor 2" "Cuenta 4"
"94" "Centro 4" "Auto" "Auto" "Kieran Hand" 451 209 378 435 2019-04-14 2019-04-24 2019-04-04 "Productor 2" "Cuenta 4"
"95" "Centro 1" "Salud" "Salud" "Breana Raynor" 487 556 51 428 2019-04-15 2019-04-25 2019-04-05 "Productor 5" "Cuenta 2"
"96" "Centro 5" "Patrimoniales" "Patrimoniales" "Maybell Leuschke" 394 347 315 348 2019-04-16 2019-04-26 2019-04-06 "Productor 1" "Cuenta 5"
"97" "Centro 1" "Salud" "Salud" "Adrianne Torp" 520 245 495 56 2019-04-17 2019-04-27 2019-04-07 "Productor 3" "Cuenta 1"
"98" "Centro 3" "Personas" "Personas" "Sharman Gleichner" 138 288 163 21 2019-04-18 2019-04-28 2019-04-08 "Productor 3" "Cuenta 1"
"99" "Centro 3" "Personas" "Personas" "Odalis Haley" 537 66 120 304 2019-04-19 2019-04-29 2019-04-09 "Productor 1" "Cuenta 1"
"100" "Centro 4" "Personas" "Personas" "Ahmed Kshlerin DVM" 22 591 474 308 2019-04-20 2019-04-30 2019-04-10 "Productor 1" "Cuenta 2"
"101" "Centro 5" "Patrimoniales" "Patrimoniales" "Jobe Reinger" 92 60 417 272 2019-04-21 2019-05-01 2019-04-11 "Productor 2" "Cuenta 4"
"102" "Centro 2" "Salud" "Salud" "Darci Boyle-Mueller" 555 513 295 228 2019-04-22 2019-05-02 2019-04-12 "Productor 2" "Cuenta 2"
"103" "Centro 1" "Patrimoniales" "Patrimoniales" "Marely Herman" 486 526 385 2 2019-04-23 2019-05-03 2019-04-13 "Productor 4" "Cuenta 4"
"104" "Centro 2" "Patrimoniales" "Patrimoniales" "Violetta Hammes-Anderson" 459 474 417 225 2019-04-24 2019-05-04 2019-04-14 "Productor 1" "Cuenta 3"
"105" "Centro 4" "Personas" "Personas" "Euna Hilpert-Dickens" 427 281 416 237 2019-04-25 2019-05-05 2019-04-15 "Productor 4" "Cuenta 4"
"106" "Centro 2" "Patrimoniales" "Patrimoniales" "Verne O'Connell" 50 447 596 313 2019-04-26 2019-05-06 2019-04-16 "Productor 3" "Cuenta 1"
"107" "Centro 1" "Patrimoniales" "Patrimoniales" "Leonia Goyette" 120 143 278 402 2019-04-27 2019-05-07 2019-04-17 "Productor 3" "Cuenta 4"
"108" "Centro 2" "Salud" "Salud" "Miss Berdie Stehr DDS" 401 479 51 55 2019-04-28 2019-05-08 2019-04-18 "Productor 5" "Cuenta 4"
"109" "Centro 2" "Auto" "Auto" "Minna Aufderhar" 191 263 76 365 2019-04-29 2019-05-09 2019-04-19 "Productor 3" "Cuenta 5"
"110" "Centro 4" "Personas" "Personas" "Charlton Streich DVM" 308 430 145 318 2019-04-30 2019-05-10 2019-04-20 "Productor 5" "Cuenta 2"
"111" "Centro 1" "Fianzas" "Fianzas" "Miss Maymie Welch PhD" 592 307 437 434 2019-05-01 2019-05-11 2019-04-21 "Productor 5" "Cuenta 3"
"112" "Centro 1" "Salud" "Salud" "Ivanna Schamberger" 200 321 359 245 2019-05-02 2019-05-12 2019-04-22 "Productor 5" "Cuenta 5"
"113" "Centro 3" "Auto" "Auto" "Erasmo Howell" 262 395 439 522 2019-05-03 2019-05-13 2019-04-23 "Productor 1" "Cuenta 2"
"114" "Centro 4" "Personas" "Personas" "Angelita Will" 132 79 354 241 2019-05-04 2019-05-14 2019-04-24 "Productor 5" "Cuenta 2"
"115" "Centro 5" "Personas" "Personas" "Josephus Schumm" 418 493 62 312 2019-05-05 2019-05-15 2019-04-25 "Productor 5" "Cuenta 1"
"116" "Centro 1" "Auto" "Auto" "Russel Bartoletti DVM" 104 408 562 141 2019-05-06 2019-05-16 2019-04-26 "Productor 1" "Cuenta 5"
"117" "Centro 4" "Auto" "Auto" "Gerda Parker" 431 71 421 313 2019-05-07 2019-05-17 2019-04-27 "Productor 1" "Cuenta 3"
"118" "Centro 5" "Patrimoniales" "Patrimoniales" "Arba Streich I" 73 300 296 327 2019-05-08 2019-05-18 2019-04-28 "Productor 1" "Cuenta 3"
"119" "Centro 5" "Auto" "Auto" "Earnestine King" 473 253 51 243 2019-05-09 2019-05-19 2019-04-29 "Productor 2" "Cuenta 3"
"120" "Centro 4" "Fianzas" "Fianzas" "Gavin Morissette" 63 396 102 468 2019-05-10 2019-05-20 2019-04-30 "Productor 4" "Cuenta 5"
"121" "Centro 2" "Salud" "Salud" "Dr. Ewald Hoeger" 378 84 379 541 2019-05-11 2019-05-21 2019-05-01 "Productor 4" "Cuenta 4"
"122" "Centro 2" "Fianzas" "Fianzas" "Dr. Dempsey Rogahn" 210 291 353 253 2019-05-12 2019-05-22 2019-05-02 "Productor 1" "Cuenta 1"
"123" "Centro 2" "Auto" "Auto" "Crissie Hane" 500 452 229 207 2019-05-13 2019-05-23 2019-05-03 "Productor 5" "Cuenta 3"
"124" "Centro 3" "Patrimoniales" "Patrimoniales" "Booker Maggio" 382 215 199 16 2019-05-14 2019-05-24 2019-05-04 "Productor 1" "Cuenta 2"
"125" "Centro 1" "Auto" "Auto" "Lailah Kessler" 476 404 96 585 2019-05-15 2019-05-25 2019-05-05 "Productor 5" "Cuenta 2"
"126" "Centro 1" "Auto" "Auto" "Peter Waters" 86 485 553 159 2019-05-16 2019-05-26 2019-05-06 "Productor 3" "Cuenta 2"
"127" "Centro 2" "Patrimoniales" "Patrimoniales" "Evia Kuhic-Doyle" 524 600 595 210 2019-05-17 2019-05-27 2019-05-07 "Productor 3" "Cuenta 2"
"128" "Centro 5" "Personas" "Personas" "Obed Kuhn-Lubowitz" 349 170 17 594 2019-05-18 2019-05-28 2019-05-08 "Productor 2" "Cuenta 3"
"129" "Centro 2" "Fianzas" "Fianzas" "Kalel Monahan" 385 176 61 239 2019-05-19 2019-05-29 2019-05-09 "Productor 3" "Cuenta 4"
"130" "Centro 3" "Auto" "Auto" "Erin Bins" 420 526 555 54 2019-05-20 2019-05-30 2019-05-10 "Productor 2" "Cuenta 3"
"131" "Centro 1" "Personas" "Personas" "Miss Haven Bergstrom MD" 420 432 201 539 2019-05-21 2019-05-31 2019-05-11 "Productor 3" "Cuenta 2"
"132" "Centro 5" "Auto" "Auto" "Miss Erie Waelchi DVM" 540 469 160 175 2019-05-22 2019-06-01 2019-05-12 "Productor 4" "Cuenta 3"
"133" "Centro 3" "Fianzas" "Fianzas" "Mrs. Alejandra Roob DDS" 168 310 211 47 2019-05-23 2019-06-02 2019-05-13 "Productor 1" "Cuenta 5"
"134" "Centro 5" "Auto" "Auto" "Mr. Alfred Runolfsson III" 55 197 220 57 2019-05-24 2019-06-03 2019-05-14 "Productor 2" "Cuenta 2"
"135" "Centro 4" "Salud" "Salud" "Chaz Gottlieb" 118 198 569 215 2019-05-25 2019-06-04 2019-05-15 "Productor 5" "Cuenta 1"
"136" "Centro 2" "Fianzas" "Fianzas" "Estefany Schuppe" 575 445 84 92 2019-05-26 2019-06-05 2019-05-16 "Productor 3" "Cuenta 1"
"137" "Centro 3" "Auto" "Auto" "Mr. Jerold Blanda III" 203 234 111 264 2019-05-27 2019-06-06 2019-05-17 "Productor 4" "Cuenta 2"
"138" "Centro 3" "Personas" "Personas" "Triston Kuhlman" 579 337 259 493 2019-05-28 2019-06-07 2019-05-18 "Productor 5" "Cuenta 5"
"139" "Centro 1" "Personas" "Personas" "Miss Mckenzie Jaskolski DVM" 151 424 228 34 2019-05-29 2019-06-08 2019-05-19 "Productor 5" "Cuenta 5"
"140" "Centro 1" "Fianzas" "Fianzas" "Aileen Brakus PhD" 564 519 308 327 2019-05-30 2019-06-09 2019-05-20 "Productor 2" "Cuenta 1"
"141" "Centro 2" "Auto" "Auto" "Towanda Moore" 67 534 330 23 2019-05-31 2019-06-10 2019-05-21 "Productor 1" "Cuenta 1"
"142" "Centro 3" "Fianzas" "Fianzas" "Dr. Arthor Murphy" 504 598 442 405 2019-06-01 2019-06-11 2019-05-22 "Productor 1" "Cuenta 3"
"143" "Centro 1" "Salud" "Salud" "Miss Tricia Bernhard" 298 322 230 242 2019-06-02 2019-06-12 2019-05-23 "Productor 3" "Cuenta 4"
"144" "Centro 4" "Patrimoniales" "Patrimoniales" "Jazmine Crooks-Rogahn" 277 150 434 383 2019-06-03 2019-06-13 2019-05-24 "Productor 1" "Cuenta 3"
"145" "Centro 5" "Personas" "Personas" "Dr. Layne Kuhic DVM" 222 516 154 185 2019-06-04 2019-06-14 2019-05-25 "Productor 5" "Cuenta 5"
"146" "Centro 3" "Patrimoniales" "Patrimoniales" "Horacio Ernser-Rutherford" 527 507 159 266 2019-06-05 2019-06-15 2019-05-26 "Productor 3" "Cuenta 5"
"147" "Centro 4" "Salud" "Salud" "Pamela Ernser" 480 244 438 74 2019-06-06 2019-06-16 2019-05-27 "Productor 2" "Cuenta 4"
"148" "Centro 3" "Auto" "Auto" "Oakley Crona-Collier" 273 596 326 243 2019-06-07 2019-06-17 2019-05-28 "Productor 2" "Cuenta 2"
"149" "Centro 3" "Personas" "Personas" "Louie Schmidt" 541 375 219 288 2019-06-08 2019-06-18 2019-05-29 "Productor 4" "Cuenta 2"
"150" "Centro 1" "Personas" "Personas" "Weaver Hagenes" 456 369 181 234 2019-06-09 2019-06-19 2019-05-30 "Productor 2" "Cuenta 5"
"151" "Centro 4" "Auto" "Auto" "Orvin Gibson" 188 554 456 75 2019-06-10 2019-06-20 2019-05-31 "Productor 2" "Cuenta 3"
"152" "Centro 4" "Auto" "Auto" "Seward Koepp" 390 153 427 56 2019-06-11 2019-06-21 2019-06-01 "Productor 2" "Cuenta 5"
"153" "Centro 4" "Personas" "Personas" "Dr. Ceasar Schmidt" 230 306 334 76 2019-06-12 2019-06-22 2019-06-02 "Productor 1" "Cuenta 5"
"154" "Centro 5" "Fianzas" "Fianzas" "Markita Kuvalis" 10 94 412 114 2019-06-13 2019-06-23 2019-06-03 "Productor 4" "Cuenta 2"
"155" "Centro 5" "Patrimoniales" "Patrimoniales" "Antoinette Schmidt" 510 30 352 379 2019-06-14 2019-06-24 2019-06-04 "Productor 4" "Cuenta 1"
"156" "Centro 1" "Auto" "Auto" "Mr. Jair Kling MD" 199 346 228 83 2019-06-15 2019-06-25 2019-06-05 "Productor 5" "Cuenta 4"
"157" "Centro 1" "Fianzas" "Fianzas" "Marjory Hartmann" 391 419 168 207 2019-06-16 2019-06-26 2019-06-06 "Productor 1" "Cuenta 2"
"158" "Centro 4" "Fianzas" "Fianzas" "Andre Conroy" 269 415 306 205 2019-06-17 2019-06-27 2019-06-07 "Productor 4" "Cuenta 5"
"159" "Centro 1" "Patrimoniales" "Patrimoniales" "Jaycob Corkery" 450 568 67 453 2019-06-18 2019-06-28 2019-06-08 "Productor 3" "Cuenta 2"
"160" "Centro 3" "Auto" "Auto" "Angus Kris" 167 566 128 276 2019-06-19 2019-06-29 2019-06-09 "Productor 4" "Cuenta 2"
"161" "Centro 1" "Salud" "Salud" "Mr. York Fisher" 307 268 55 548 2019-06-20 2019-06-30 2019-06-10 "Productor 3" "Cuenta 2"
"162" "Centro 1" "Salud" "Salud" "Julisa Halvorson" 558 190 278 419 2019-06-21 2019-07-01 2019-06-11 "Productor 2" "Cuenta 5"
"163" "Centro 2" "Auto" "Auto" "Abbigail Jacobson-Jakubowski" 504 595 587 119 2019-06-22 2019-07-02 2019-06-12 "Productor 1" "Cuenta 1"
"164" "Centro 4" "Personas" "Personas" "Mr. Ephraim Gutkowski III" 31 308 404 494 2019-06-23 2019-07-03 2019-06-13 "Productor 2" "Cuenta 3"
"165" "Centro 1" "Salud" "Salud" "Jeremy Wisoky" 144 20 151 527 2019-06-24 2019-07-04 2019-06-14 "Productor 5" "Cuenta 5"
"166" "Centro 1" "Salud" "Salud" "Mrs. Tabatha Hackett" 75 219 299 505 2019-06-25 2019-07-05 2019-06-15 "Productor 3" "Cuenta 2"
"167" "Centro 5" "Auto" "Auto" "Brittaney Champlin" 580 514 347 483 2019-06-26 2019-07-06 2019-06-16 "Productor 2" "Cuenta 2"
"168" "Centro 4" "Patrimoniales" "Patrimoniales" "Ms. Sarrah Emard" 83 28 482 220 2019-06-27 2019-07-07 2019-06-17 "Productor 5" "Cuenta 3"
