"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Centro de Atención Receptor" "Número Póliza" "Número Siniestro" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Fecha" "productor" "cuentas_esp"
"37" "Centro 2" "Fianzas" "Fianzas" "Joy Tillman" "Centro 2" 47 563 45 116 502 2019-02-06 "Productor 3" "Cuenta 2"
"38" "Centro 3" "Patrimoniales" "Patrimoniales" "Levon Conn" "Centro 3" 354 526 532 379 448 2019-02-07 "Productor 3" "Cuenta 3"
"39" "Centro 4" "Personas" "Personas" "Dr. Severo Ankunding DDS" "Centro 4" 141 271 274 299 254 2019-02-08 "Productor 5" "Cuenta 4"
"40" "Centro 1" "Salud" "Salud" "Mr. Jase Dietrich II" "Centro 1" 233 524 165 233 12 2019-02-09 "Productor 2" "Cuenta 1"
"41" "Centro 1" "Patrimoniales" "Patrimoniales" "Juston Auer MD" "Centro 1" 33 587 328 243 77 2019-02-10 "Productor 3" "Cuenta 2"
"42" "Centro 4" "Patrimoniales" "Patrimoniales" "Jewel Durgan" "Centro 4" 198 140 493 4 38 2019-02-11 "Productor 3" "Cuenta 2"
"43" "Centro 4" "Patrimoniales" "Patrimoniales" "Sherita Ryan" "Centro 4" 438 287 99 441 159 2019-02-12 "Productor 1" "Cuenta 4"
"44" "Centro 5" "Patrimoniales" "Patrimoniales" "Nonie Hackett-Strosin" "Centro 5" 534 552 338 143 31 2019-02-13 "Productor 3" "Cuenta 5"
"45" "Centro 3" "Salud" "Salud" "Pierre Cummerata" "Centro 3" 175 421 586 176 456 2019-02-14 "Productor 4" "Cuenta 2"
"46" "Centro 5" "Salud" "Salud" "Delpha Thiel" "Centro 5" 593 25 351 16 222 2019-02-15 "Productor 3" "Cuenta 4"
"47" "Centro 3" "Fianzas" "Fianzas" "Krystal Prosacco MD" "Centro 3" 184 105 16 95 106 2019-02-16 "Productor 2" "Cuenta 1"
"48" "Centro 2" "Salud" "Salud" "Caiden Lowe" "Centro 2" 350 288 389 81 257 2019-02-17 "Productor 1" "Cuenta 5"
"49" "Centro 2" "Auto" "Auto" "Olena Schneider" "Centro 2" 405 47 466 249 478 2019-02-18 "Productor 5" "Cuenta 5"
"50" "Centro 2" "Fianzas" "Fianzas" "Davin Swaniawski" "Centro 2" 54 535 140 247 220 2019-02-19 "Productor 4" "Cuenta 1"
"51" "Centro 1" "Salud" "Salud" "Miss Sharita Spinka DVM" "Centro 1" 563 184 557 61 363 2019-02-20 "Productor 5" "Cuenta 4"
"52" "Centro 1" "Salud" "Salud" "Cannon Gibson" "Centro 1" 466 152 411 526 408 2019-02-21 "Productor 4" "Cuenta 2"
"53" "Centro 5" "Patrimoniales" "Patrimoniales" "Jerilyn Bogan DDS" "Centro 5" 548 168 414 264 231 2019-02-22 "Productor 5" "Cuenta 1"
"54" "Centro 1" "Auto" "Auto" "Dr. Jayme Mohr DVM" "Centro 1" 431 408 207 291 33 2019-02-23 "Productor 2" "Cuenta 4"
"55" "Centro 3" "Patrimoniales" "Patrimoniales" "Amiyah Kilback" "Centro 3" 432 338 421 23 170 2019-02-24 "Productor 3" "Cuenta 1"
"56" "Centro 5" "Salud" "Salud" "Kylene Flatley-Okuneva" "Centro 5" 58 154 503 344 256 2019-02-25 "Productor 1" "Cuenta 3"
"57" "Centro 4" "Fianzas" "Fianzas" "Jeramie DuBuque" "Centro 4" 450 320 406 549 269 2019-02-26 "Productor 2" "Cuenta 4"
"58" "Centro 3" "Auto" "Auto" "Alwine Cassin" "Centro 3" 188 174 20 557 586 2019-02-27 "Productor 4" "Cuenta 4"
"59" "Centro 1" "Patrimoniales" "Patrimoniales" "Mahalia Larkin" "Centro 1" 485 507 213 155 477 2019-02-28 "Productor 4" "Cuenta 4"
"60" "Centro 4" "Personas" "Personas" "Anson Jacobs-Becker" "Centro 4" 246 553 256 277 516 2019-03-01 "Productor 2" "Cuenta 5"
"61" "Centro 2" "Personas" "Personas" "Miss Anya Treutel MD" "Centro 2" 300 205 505 526 589 2019-03-02 "Productor 3" "Cuenta 3"
"62" "Centro 1" "Auto" "Auto" "Dr. Josie Collins PhD" "Centro 1" 64 476 240 362 404 2019-03-03 "Productor 1" "Cuenta 1"
"63" "Centro 4" "Salud" "Salud" "Celestino Volkman" "Centro 4" 549 9 319 147 93 2019-03-04 "Productor 1" "Cuenta 4"
"64" "Centro 3" "Salud" "Salud" "Cleo Predovic" "Centro 3" 407 265 385 440 93 2019-03-05 "Productor 4" "Cuenta 1"
"65" "Centro 2" "Patrimoniales" "Patrimoniales" "Trisha McDermott-Baumbach" "Centro 2" 535 22 303 392 12 2019-03-06 "Productor 3" "Cuenta 1"
"66" "Centro 5" "Fianzas" "Fianzas" "Fuller Mraz" "Centro 5" 557 84 104 285 323 2019-03-07 "Productor 4" "Cuenta 5"
"67" "Centro 1" "Personas" "Personas" "Ivah White DDS" "Centro 1" 151 552 443 196 329 2019-03-08 "Productor 1" "Cuenta 2"
"68" "Centro 4" "Personas" "Personas" "Mason Bosco" "Centro 4" 576 477 508 229 369 2019-03-09 "Productor 5" "Cuenta 4"
"69" "Centro 4" "Auto" "Auto" "Jeraldine Johnson" "Centro 4" 401 477 130 150 292 2019-03-10 "Productor 4" "Cuenta 5"
"70" "Centro 5" "Patrimoniales" "Patrimoniales" "Citlalli Walsh" "Centro 5" 140 477 254 513 245 2019-03-11 "Productor 5" "Cuenta 1"
"71" "Centro 4" "Patrimoniales" "Patrimoniales" "Mr. Giancarlo Langworth" "Centro 4" 594 425 488 156 417 2019-03-12 "Productor 1" "Cuenta 4"
"72" "Centro 2" "Auto" "Auto" "Davon Pfeffer" "Centro 2" 190 397 175 396 66 2019-03-13 "Productor 2" "Cuenta 3"
"73" "Centro 5" "Salud" "Salud" "Kathyrn Tromp" "Centro 5" 306 289 231 302 112 2019-03-14 "Productor 5" "Cuenta 5"
"74" "Centro 1" "Salud" "Salud" "Mabelle Kuhic" "Centro 1" 53 566 387 296 43 2019-03-15 "Productor 1" "Cuenta 2"
"75" "Centro 5" "Salud" "Salud" "Miss Birdella Quitzon" "Centro 5" 228 100 394 422 58 2019-03-16 "Productor 3" "Cuenta 4"
"76" "Centro 4" "Fianzas" "Fianzas" "Brice King" "Centro 4" 344 206 437 281 13 2019-03-17 "Productor 1" "Cuenta 4"
"77" "Centro 2" "Fianzas" "Fianzas" "Grisel Kerluke PhD" "Centro 2" 171 383 222 3 193 2019-03-18 "Productor 4" "Cuenta 1"
"78" "Centro 1" "Salud" "Salud" "Pam Jerde" "Centro 1" 470 289 119 192 18 2019-03-19 "Productor 5" "Cuenta 2"
"79" "Centro 5" "Patrimoniales" "Patrimoniales" "Kaela Deckow-Gleason" "Centro 5" 535 358 469 451 261 2019-03-20 "Productor 3" "Cuenta 2"
"80" "Centro 1" "Patrimoniales" "Patrimoniales" "Winifred Kertzmann" "Centro 1" 457 229 300 294 122 2019-03-21 "Productor 1" "Cuenta 1"
"81" "Centro 2" "Patrimoniales" "Patrimoniales" "Leland Denesik PhD" "Centro 2" 379 83 55 152 189 2019-03-22 "Productor 4" "Cuenta 2"
"82" "Centro 5" "Personas" "Personas" "Jordin Schamberger" "Centro 5" 225 32 537 159 199 2019-03-23 "Productor 2" "Cuenta 4"
"83" "Centro 5" "Auto" "Auto" "Marley Rippin" "Centro 5" 96 40 586 435 22 2019-03-24 "Productor 5" "Cuenta 2"
"84" "Centro 5" "Auto" "Auto" "Mr. Buford Moen" "Centro 5" 237 473 266 61 67 2019-03-25 "Productor 2" "Cuenta 3"
"85" "Centro 5" "Fianzas" "Fianzas" "Alla Wilkinson" "Centro 5" 78 144 61 426 50 2019-03-26 "Productor 2" "Cuenta 4"
"86" "Centro 2" "Fianzas" "Fianzas" "Antonina Stehr" "Centro 2" 352 219 18 88 434 2019-03-27 "Productor 3" "Cuenta 1"
"87" "Centro 2" "Auto" "Auto" "Guido Stracke DVM" "Centro 2" 280 68 560 557 199 2019-03-28 "Productor 4" "Cuenta 4"
"88" "Centro 2" "Personas" "Personas" "Haiden Douglas" "Centro 2" 21 221 141 594 142 2019-03-29 "Productor 1" "Cuenta 4"
"89" "Centro 3" "Salud" "Salud" "Gabrielle Lemke" "Centro 3" 387 574 353 273 531 2019-03-30 "Productor 4" "Cuenta 3"
"90" "Centro 2" "Patrimoniales" "Patrimoniales" "Lashawn Jones" "Centro 2" 141 357 453 65 61 2019-03-31 "Productor 5" "Cuenta 2"
"91" "Centro 4" "Patrimoniales" "Patrimoniales" "Ivey Heller" "Centro 4" 204 478 210 207 578 2019-04-01 "Productor 5" "Cuenta 2"
"92" "Centro 1" "Patrimoniales" "Patrimoniales" "Jody Feeney" "Centro 1" 21 287 575 392 444 2019-04-02 "Productor 3" "Cuenta 3"
"93" "Centro 1" "Personas" "Personas" "Jamey Tremblay" "Centro 1" 133 550 584 23 235 2019-04-03 "Productor 3" "Cuenta 4"
"94" "Centro 1" "Fianzas" "Fianzas" "Linnea Sporer" "Centro 1" 183 563 584 99 253 2019-04-04 "Productor 2" "Cuenta 1"
"95" "Centro 2" "Personas" "Personas" "Ozzie Hettinger I" "Centro 2" 380 110 593 202 553 2019-04-05 "Productor 4" "Cuenta 3"
"96" "Centro 3" "Personas" "Personas" "Erla Weissnat-Bode" "Centro 3" 18 555 178 465 251 2019-04-06 "Productor 5" "Cuenta 1"
"97" "Centro 5" "Personas" "Personas" "Miss Mell Rempel" "Centro 5" 478 195 274 172 137 2019-04-07 "Productor 1" "Cuenta 4"
"98" "Centro 1" "Auto" "Auto" "Braxton Jast" "Centro 1" 379 309 355 249 548 2019-04-08 "Productor 4" "Cuenta 1"
"99" "Centro 1" "Salud" "Salud" "Dr. Stan Jacobs IV" "Centro 1" 431 208 389 246 378 2019-04-09 "Productor 2" "Cuenta 4"
"100" "Centro 2" "Personas" "Personas" "Queen Ortiz" "Centro 2" 57 103 248 425 423 2019-04-10 "Productor 1" "Cuenta 4"
"101" "Centro 3" "Personas" "Personas" "Williams Tromp" "Centro 3" 96 452 421 224 194 2019-04-11 "Productor 4" "Cuenta 3"
"102" "Centro 3" "Fianzas" "Fianzas" "Polk Streich II" "Centro 3" 78 475 82 512 184 2019-04-12 "Productor 4" "Cuenta 1"
"103" "Centro 1" "Fianzas" "Fianzas" "Naima Howe-Heathcote" "Centro 1" 337 527 7 263 246 2019-04-13 "Productor 2" "Cuenta 4"
"104" "Centro 5" "Patrimoniales" "Patrimoniales" "Andy Stoltenberg" "Centro 5" 382 366 68 118 98 2019-04-14 "Productor 3" "Cuenta 4"
"105" "Centro 4" "Auto" "Auto" "Mr. Mariano Cummerata V" "Centro 4" 464 94 189 389 76 2019-04-15 "Productor 3" "Cuenta 4"
"106" "Centro 5" "Personas" "Personas" "Riya Littel" "Centro 5" 351 98 282 3 529 2019-04-16 "Productor 3" "Cuenta 1"
"107" "Centro 1" "Auto" "Auto" "Gerard Hudson" "Centro 1" 237 421 33 349 283 2019-04-17 "Productor 3" "Cuenta 2"
"108" "Centro 1" "Personas" "Personas" "Eliga Ziemann" "Centro 1" 412 470 118 257 117 2019-04-18 "Productor 3" "Cuenta 4"
"109" "Centro 1" "Salud" "Salud" "Rubie Volkman" "Centro 1" 300 560 294 593 462 2019-04-19 "Productor 5" "Cuenta 1"
"110" "Centro 5" "Salud" "Salud" "Lashonda McGlynn" "Centro 5" 112 422 166 361 410 2019-04-20 "Productor 4" "Cuenta 3"
"111" "Centro 4" "Patrimoniales" "Patrimoniales" "Ozell Bartell" "Centro 4" 178 77 276 211 373 2019-04-21 "Productor 2" "Cuenta 2"
"112" "Centro 2" "Fianzas" "Fianzas" "Adell Zemlak" "Centro 2" 387 396 329 262 364 2019-04-22 "Productor 4" "Cuenta 1"
"113" "Centro 3" "Personas" "Personas" "Carlos Quigley-Christiansen" "Centro 3" 255 448 396 463 43 2019-04-23 "Productor 2" "Cuenta 1"
"114" "Centro 3" "Auto" "Auto" "Lonie Schroeder" "Centro 3" 344 143 154 519 207 2019-04-24 "Productor 5" "Cuenta 2"
"115" "Centro 3" "Personas" "Personas" "Mr. Sage Mayert III" "Centro 3" 66 404 409 207 311 2019-04-25 "Productor 3" "Cuenta 4"
"116" "Centro 1" "Auto" "Auto" "Alexina Lind-Murphy" "Centro 1" 124 257 220 558 498 2019-04-26 "Productor 1" "Cuenta 1"
"117" "Centro 4" "Auto" "Auto" "Jerrad Doyle III" "Centro 4" 497 189 324 309 18 2019-04-27 "Productor 3" "Cuenta 2"
"118" "Centro 5" "Auto" "Auto" "Dusty Bailey-Quigley" "Centro 5" 146 160 353 208 270 2019-04-28 "Productor 4" "Cuenta 3"
"119" "Centro 4" "Salud" "Salud" "Dr. Patric Skiles" "Centro 4" 370 294 71 186 325 2019-04-29 "Productor 3" "Cuenta 2"
"120" "Centro 4" "Auto" "Auto" "Lollie Lang" "Centro 4" 379 358 571 521 15 2019-04-30 "Productor 4" "Cuenta 1"
"121" "Centro 3" "Personas" "Personas" "Mr. Micheal Douglas" "Centro 3" 249 514 87 515 521 2019-05-01 "Productor 1" "Cuenta 5"
"122" "Centro 4" "Salud" "Salud" "Ashley O'Reilly" "Centro 4" 436 35 91 269 141 2019-05-02 "Productor 1" "Cuenta 2"
"123" "Centro 5" "Salud" "Salud" "Makena Kuphal" "Centro 5" 517 211 452 198 311 2019-05-03 "Productor 3" "Cuenta 3"
"124" "Centro 5" "Personas" "Personas" "Alta Smitham" "Centro 5" 201 47 47 46 9 2019-05-04 "Productor 5" "Cuenta 5"
"125" "Centro 1" "Personas" "Personas" "Bryce Will-Casper" "Centro 1" 407 530 239 263 408 2019-05-05 "Productor 1" "Cuenta 3"
"126" "Centro 1" "Fianzas" "Fianzas" "Kristofer Kulas-Pouros" "Centro 1" 110 260 535 323 469 2019-05-06 "Productor 5" "Cuenta 1"
"127" "Centro 4" "Personas" "Personas" "Lexie Bahringer-Johnson" "Centro 4" 507 431 573 109 590 2019-05-07 "Productor 3" "Cuenta 3"
"128" "Centro 1" "Personas" "Personas" "Chance Lowe PhD" "Centro 1" 245 136 82 164 230 2019-05-08 "Productor 3" "Cuenta 5"
"129" "Centro 1" "Auto" "Auto" "Burnice Strosin" "Centro 1" 458 354 188 370 192 2019-05-09 "Productor 4" "Cuenta 3"
"130" "Centro 3" "Patrimoniales" "Patrimoniales" "Dr. Bernadette Pollich DDS" "Centro 3" 275 316 537 128 60 2019-05-10 "Productor 4" "Cuenta 4"
"131" "Centro 4" "Auto" "Auto" "Terrie Hoeger" "Centro 4" 418 52 208 428 497 2019-05-11 "Productor 5" "Cuenta 3"
"132" "Centro 5" "Patrimoniales" "Patrimoniales" "Brook Paucek-Thiel" "Centro 5" 55 326 413 82 528 2019-05-12 "Productor 4" "Cuenta 1"
"133" "Centro 5" "Fianzas" "Fianzas" "Mr. Cayden Schuster II" "Centro 5" 433 7 565 89 202 2019-05-13 "Productor 5" "Cuenta 3"
"134" "Centro 4" "Personas" "Personas" "Theta Daniel" "Centro 4" 526 585 450 352 78 2019-05-14 "Productor 2" "Cuenta 2"
"135" "Centro 4" "Fianzas" "Fianzas" "Eboni Keeling" "Centro 4" 476 238 434 332 509 2019-05-15 "Productor 4" "Cuenta 4"
"136" "Centro 5" "Personas" "Personas" "Dr. Michal Little" "Centro 5" 155 166 568 243 499 2019-05-16 "Productor 4" "Cuenta 2"
"137" "Centro 1" "Salud" "Salud" "Sena Bergstrom DDS" "Centro 1" 421 333 249 420 172 2019-05-17 "Productor 1" "Cuenta 5"
"138" "Centro 4" "Patrimoniales" "Patrimoniales" "Dr. Alpha Gutmann PhD" "Centro 4" 59 573 313 86 530 2019-05-18 "Productor 4" "Cuenta 5"
"139" "Centro 2" "Personas" "Personas" "Catharine Franecki" "Centro 2" 173 468 356 456 562 2019-05-19 "Productor 2" "Cuenta 1"
"140" "Centro 5" "Patrimoniales" "Patrimoniales" "Jajuan Morissette-Wisoky" "Centro 5" 202 575 506 447 413 2019-05-20 "Productor 1" "Cuenta 3"
"141" "Centro 5" "Fianzas" "Fianzas" "Lolla Strosin-Marquardt" "Centro 5" 597 69 368 285 149 2019-05-21 "Productor 2" "Cuenta 2"
"142" "Centro 2" "Salud" "Salud" "Akeem Altenwerth" "Centro 2" 283 181 510 343 227 2019-05-22 "Productor 4" "Cuenta 1"
"143" "Centro 4" "Auto" "Auto" "Gertha Raynor" "Centro 4" 295 368 328 297 149 2019-05-23 "Productor 1" "Cuenta 4"
"144" "Centro 4" "Salud" "Salud" "Quintin Wunsch" "Centro 4" 542 322 402 410 103 2019-05-24 "Productor 3" "Cuenta 1"
"145" "Centro 3" "Fianzas" "Fianzas" "Mordechai Emard" "Centro 3" 273 319 93 73 307 2019-05-25 "Productor 2" "Cuenta 5"
"146" "Centro 2" "Patrimoniales" "Patrimoniales" "Tilman Greenfelder" "Centro 2" 571 428 357 597 45 2019-05-26 "Productor 2" "Cuenta 3"
"147" "Centro 3" "Fianzas" "Fianzas" "Ms. Vara Bosco DVM" "Centro 3" 26 69 259 258 290 2019-05-27 "Productor 3" "Cuenta 2"
"148" "Centro 5" "Salud" "Salud" "Christina Steuber" "Centro 5" 419 535 512 252 506 2019-05-28 "Productor 3" "Cuenta 5"
"149" "Centro 3" "Salud" "Salud" "Dr. Fernanda Bergnaum DVM" "Centro 3" 490 16 177 451 263 2019-05-29 "Productor 4" "Cuenta 5"
"150" "Centro 3" "Auto" "Auto" "Shelton Gulgowski" "Centro 3" 565 226 488 456 487 2019-05-30 "Productor 3" "Cuenta 3"
"151" "Centro 5" "Patrimoniales" "Patrimoniales" "Dr. Abbey Rice" "Centro 5" 272 105 173 170 23 2019-05-31 "Productor 2" "Cuenta 5"
"152" "Centro 3" "Personas" "Personas" "Gunnar Balistreri" "Centro 3" 33 274 21 57 12 2019-06-01 "Productor 3" "Cuenta 1"
"153" "Centro 5" "Salud" "Salud" "Meghann Bosco" "Centro 5" 304 320 69 49 387 2019-06-02 "Productor 3" "Cuenta 2"
"154" "Centro 4" "Patrimoniales" "Patrimoniales" "Clifton Considine" "Centro 4" 60 587 480 328 199 2019-06-03 "Productor 2" "Cuenta 4"
"155" "Centro 2" "Salud" "Salud" "Mr. Arron Pacocha" "Centro 2" 566 329 259 382 277 2019-06-04 "Productor 5" "Cuenta 3"
"156" "Centro 2" "Personas" "Personas" "Austin Macejkovic PhD" "Centro 2" 103 54 286 282 60 2019-06-05 "Productor 1" "Cuenta 4"
"157" "Centro 5" "Auto" "Auto" "Dulcie Bashirian" "Centro 5" 309 309 156 29 250 2019-06-06 "Productor 3" "Cuenta 1"
"158" "Centro 1" "Auto" "Auto" "Vic Olson II" "Centro 1" 77 273 139 23 170 2019-06-07 "Productor 5" "Cuenta 4"
"159" "Centro 5" "Salud" "Salud" "Stefanie Reichert DVM" "Centro 5" 467 196 60 162 567 2019-06-08 "Productor 3" "Cuenta 4"
"160" "Centro 3" "Fianzas" "Fianzas" "Kennard Maggio" "Centro 3" 92 276 170 176 257 2019-06-09 "Productor 5" "Cuenta 4"
"161" "Centro 4" "Auto" "Auto" "Cayla Kreiger-Emard" "Centro 4" 146 323 543 143 411 2019-06-10 "Productor 1" "Cuenta 1"
"162" "Centro 1" "Salud" "Salud" "Dr. Elvis Hayes Jr." "Centro 1" 320 498 141 143 422 2019-06-11 "Productor 5" "Cuenta 5"
"163" "Centro 1" "Salud" "Salud" "Anson Robel Sr." "Centro 1" 506 28 47 270 143 2019-06-12 "Productor 3" "Cuenta 4"
"164" "Centro 4" "Auto" "Auto" "Andy Schroeder II" "Centro 4" 17 127 1 395 407 2019-06-13 "Productor 3" "Cuenta 5"
"165" "Centro 2" "Salud" "Salud" "Marta Sauer" "Centro 2" 140 62 65 320 75 2019-06-14 "Productor 5" "Cuenta 5"
"166" "Centro 2" "Personas" "Personas" "Deante Bogisich" "Centro 2" 114 524 149 124 589 2019-06-15 "Productor 4" "Cuenta 5"
"167" "Centro 5" "Personas" "Personas" "Cori Buckridge MD" "Centro 5" 90 399 351 49 529 2019-06-16 "Productor 2" "Cuenta 4"
"168" "Centro 4" "Fianzas" "Fianzas" "Ian Marvin" "Centro 4" 346 162 489 408 165 2019-06-17 "Productor 5" "Cuenta 5"
"169" "Centro 3" "Auto" "Auto" "Weston Raynor MD" "Centro 3" 590 473 595 281 27 2019-06-18 "Productor 5" "Cuenta 3"
"170" "Centro 5" "Salud" "Salud" "Vernell Nienow DDS" "Centro 5" 200 443 83 359 583 2019-06-19 "Productor 5" "Cuenta 4"
"171" "Centro 1" "Salud" "Salud" "Lakeisha Mohr" "Centro 1" 62 247 85 550 307 2019-06-20 "Productor 4" "Cuenta 1"
"172" "Centro 3" "Fianzas" "Fianzas" "Mr. Vergil Gutkowski IV" "Centro 3" 388 89 25 587 387 2019-06-21 "Productor 5" "Cuenta 2"
"173" "Centro 5" "Fianzas" "Fianzas" "Philip Quitzon IV" "Centro 5" 20 18 135 558 255 2019-06-22 "Productor 5" "Cuenta 2"
"174" "Centro 4" "Personas" "Personas" "Valentino Carter I" "Centro 4" 57 403 449 135 280 2019-06-23 "Productor 3" "Cuenta 4"
"175" "Centro 2" "Salud" "Salud" "Star Steuber PhD" "Centro 2" 556 444 53 114 546 2019-06-24 "Productor 3" "Cuenta 1"
"176" "Centro 1" "Personas" "Personas" "Ayesha Will" "Centro 1" 490 399 395 432 479 2019-06-25 "Productor 4" "Cuenta 2"
"177" "Centro 3" "Salud" "Salud" "Giovanny Spinka-Pouros" "Centro 3" 586 69 211 36 193 2019-06-26 "Productor 3" "Cuenta 3"
"178" "Centro 5" "Auto" "Auto" "Dorene Welch" "Centro 5" 355 452 445 26 216 2019-06-27 "Productor 3" "Cuenta 1"
"179" "Centro 2" "Personas" "Personas" "Darline Gibson-Runte" "Centro 2" 201 309 177 18 365 2019-06-28 "Productor 2" "Cuenta 4"
"180" "Centro 4" "Auto" "Auto" "Kelvin Predovic" "Centro 4" 268 91 253 68 137 2019-06-29 "Productor 3" "Cuenta 4"
