"Sucursal" "Ramo" "Línea Negocio" "Nombre del Cliente" "Número Póliza" "Prima Cobrada" "Prima Devengada" "Siniestros Pagados" "Siniestros Pendientes" "Siniestros Incurridos" "Recuperaciones" "Comisiones e Incentivos Pagados" "Gastos Directos del Ramo" "Resultado Técnico Antes de Gasto" "Siniestralidad" "Fecha" "productor" "cuentas_esp"
"50" "Centro 5" "Patrimoniales" "Patrimoniales" "Mr. Lew Green PhD" 77 246 483 262 8 484 306 380 343 528 452 2019-02-19 "Productor 2" "Cuenta 5"
"51" "Centro 2" "Auto" "Auto" "Aylin Pacocha" 142 55 489 555 398 498 576 338 313 212 315 2019-02-20 "Productor 5" "Cuenta 5"
"52" "Centro 5" "Auto" "Auto" "Kalene Conroy DVM" 393 229 446 348 210 304 595 72 186 15 428 2019-02-21 "Productor 1" "Cuenta 2"
"53" "Centro 2" "Auto" "Auto" "Lavera Fadel" 76 426 454 319 238 157 51 426 517 376 19 2019-02-22 "Productor 5" "Cuenta 2"
"54" "Centro 3" "Fianzas" "Fianzas" "Therese Moore" 356 209 153 8 570 274 54 257 7 117 366 2019-02-23 "Productor 4" "Cuenta 5"
"55" "Centro 2" "Salud" "Salud" "Elyse Lowe-Strosin" 105 416 477 71 332 441 549 181 435 331 550 2019-02-24 "Productor 1" "Cuenta 2"
"56" "Centro 4" "Salud" "Salud" "Gabrielle Ernser" 42 288 140 160 106 234 545 544 24 161 93 2019-02-25 "Productor 2" "Cuenta 5"
"57" "Centro 3" "Salud" "Salud" "Alcie Aufderhar" 17 552 159 517 259 31 245 600 500 292 29 2019-02-26 "Productor 1" "Cuenta 4"
"58" "Centro 2" "Personas" "Personas" "Brion Wolff" 554 376 353 374 391 75 458 81 31 127 329 2019-02-27 "Productor 4" "Cuenta 1"
"59" "Centro 1" "Patrimoniales" "Patrimoniales" "Mr. Dandre Kulas Sr." 269 401 356 256 290 182 185 33 146 243 207 2019-02-28 "Productor 4" "Cuenta 4"
"60" "Centro 4" "Patrimoniales" "Patrimoniales" "Mr. Nestor Hartmann" 452 109 109 330 385 78 89 348 271 211 198 2019-03-01 "Productor 4" "Cuenta 1"
"61" "Centro 1" "Personas" "Personas" "Kirstin Krajcik-Veum" 173 230 546 402 28 144 206 282 503 154 56 2019-03-02 "Productor 2" "Cuenta 4"
"62" "Centro 2" "Patrimoniales" "Patrimoniales" "Ms. Jana Bogan" 533 556 69 259 121 33 335 542 349 161 331 2019-03-03 "Productor 1" "Cuenta 4"
"63" "Centro 5" "Salud" "Salud" "Lesley Crist" 463 361 219 285 186 230 529 541 130 31 563 2019-03-04 "Productor 3" "Cuenta 2"
"64" "Centro 3" "Salud" "Salud" "Goebel Bergnaum" 138 142 502 391 2 250 98 588 18 339 508 2019-03-05 "Productor 4" "Cuenta 3"
"65" "Centro 1" "Fianzas" "Fianzas" "Ayden Beer" 474 460 58 307 87 69 368 332 119 528 76 2019-03-06 "Productor 5" "Cuenta 4"
"66" "Centro 5" "Salud" "Salud" "Miss Pat Watsica DVM" 336 514 423 7 64 92 224 151 540 529 404 2019-03-07 "Productor 3" "Cuenta 4"
"67" "Centro 4" "Salud" "Salud" "Guss Metz" 2 291 458 248 364 51 223 277 109 570 198 2019-03-08 "Productor 4" "Cuenta 1"
"68" "Centro 3" "Patrimoniales" "Patrimoniales" "Victorine Wisozk" 18 49 130 239 581 139 326 499 317 211 368 2019-03-09 "Productor 4" "Cuenta 5"
"69" "Centro 1" "Auto" "Auto" "Gary Hudson" 534 281 518 132 548 136 289 178 314 268 334 2019-03-10 "Productor 3" "Cuenta 1"
"70" "Centro 2" "Auto" "Auto" "Felicie Hauck" 441 68 325 162 523 209 142 23 189 104 78 2019-03-11 "Productor 4" "Cuenta 5"
"71" "Centro 3" "Fianzas" "Fianzas" "Mrs. Sonja Rempel" 470 277 389 226 581 330 529 449 193 62 487 2019-03-12 "Productor 1" "Cuenta 5"
"72" "Centro 4" "Personas" "Personas" "Mr. Esequiel Gutmann" 149 431 156 177 90 81 238 20 379 13 547 2019-03-13 "Productor 5" "Cuenta 1"
"73" "Centro 3" "Personas" "Personas" "Laurine Stehr" 103 473 404 350 384 359 52 448 533 416 213 2019-03-14 "Productor 3" "Cuenta 1"
"74" "Centro 4" "Personas" "Personas" "Jesus Muller" 600 451 530 225 75 210 205 390 237 82 577 2019-03-15 "Productor 5" "Cuenta 3"
"75" "Centro 1" "Personas" "Personas" "Joshua Hansen" 193 402 536 178 258 37 567 11 569 172 80 2019-03-16 "Productor 5" "Cuenta 4"
"76" "Centro 2" "Fianzas" "Fianzas" "Callie Lesch" 592 40 108 560 511 347 417 278 355 585 121 2019-03-17 "Productor 1" "Cuenta 4"
"77" "Centro 4" "Auto" "Auto" "Dr. Connor Ritchie II" 269 278 13 353 534 140 185 381 388 150 239 2019-03-18 "Productor 3" "Cuenta 1"
"78" "Centro 2" "Personas" "Personas" "Darline Romaguera DDS" 414 152 562 450 335 174 461 228 19 423 32 2019-03-19 "Productor 4" "Cuenta 1"
"79" "Centro 1" "Personas" "Personas" "Delano Wolf" 165 95 23 514 579 543 49 574 157 86 582 2019-03-20 "Productor 4" "Cuenta 3"
"80" "Centro 5" "Patrimoniales" "Patrimoniales" "Jesenia Schiller" 587 0 77 100 46 560 204 401 545 28 3 2019-03-21 "Productor 3" "Cuenta 1"
"81" "Centro 3" "Patrimoniales" "Patrimoniales" "Boyd Brakus" 319 53 488 575 227 165 237 440 97 567 184 2019-03-22 "Productor 4" "Cuenta 5"
"82" "Centro 1" "Auto" "Auto" "Bishop Thompson-Collins" 431 193 391 315 470 132 210 163 583 182 455 2019-03-23 "Productor 4" "Cuenta 4"
"83" "Centro 4" "Fianzas" "Fianzas" "Delina Carroll" 175 334 50 516 402 305 83 343 221 267 19 2019-03-24 "Productor 3" "Cuenta 2"
"84" "Centro 3" "Patrimoniales" "Patrimoniales" "Jewell Ratke" 184 193 534 236 304 377 232 457 57 219 243 2019-03-25 "Productor 1" "Cuenta 2"
"85" "Centro 3" "Personas" "Personas" "Dr. Oliver Zemlak" 537 469 54 365 598 231 555 7 537 31 18 2019-03-26 "Productor 1" "Cuenta 2"
"86" "Centro 3" "Personas" "Personas" "Burnett Herman I" 92 553 216 21 415 192 18 393 212 470 308 2019-03-27 "Productor 3" "Cuenta 2"
"87" "Centro 3" "Auto" "Auto" "Audriana Toy" 152 207 105 451 187 106 303 123 158 23 259 2019-03-28 "Productor 1" "Cuenta 5"
"88" "Centro 5" "Salud" "Salud" "Cheryl Heller" 496 129 524 116 300 89 510 223 46 230 198 2019-03-29 "Productor 2" "Cuenta 3"
"89" "Centro 1" "Patrimoniales" "Patrimoniales" "Raleigh Gislason" 445 42 125 236 528 394 235 501 80 357 421 2019-03-30 "Productor 1" "Cuenta 2"
"90" "Centro 3" "Personas" "Personas" "Jajuan Lubowitz-Beahan" 85 433 588 557 132 209 425 212 252 417 334 2019-03-31 "Productor 2" "Cuenta 2"
"91" "Centro 4" "Personas" "Personas" "Caddie Gusikowski" 146 138 160 150 239 277 269 6 264 299 254 2019-04-01 "Productor 1" "Cuenta 3"
"92" "Centro 5" "Auto" "Auto" "Mr. Irl Hoeger DDS" 267 125 158 502 525 202 157 346 78 202 598 2019-04-02 "Productor 1" "Cuenta 2"
"93" "Centro 1" "Auto" "Auto" "Ms. Iyana Yost" 515 548 549 236 180 274 478 237 165 334 391 2019-04-03 "Productor 2" "Cuenta 5"
"94" "Centro 5" "Salud" "Salud" "Hardin Leffler DDS" 524 14 561 232 156 193 141 408 190 117 560 2019-04-04 "Productor 3" "Cuenta 4"
"95" "Centro 4" "Fianzas" "Fianzas" "Le Gerlach" 128 320 398 305 444 103 451 237 478 365 220 2019-04-05 "Productor 4" "Cuenta 3"
"96" "Centro 1" "Personas" "Personas" "Baxter Ryan PhD" 265 445 307 3 23 207 59 305 129 254 377 2019-04-06 "Productor 3" "Cuenta 5"
"97" "Centro 5" "Personas" "Personas" "Yahir Bogan-Dicki" 568 278 505 354 250 526 439 312 370 483 88 2019-04-07 "Productor 5" "Cuenta 3"
"98" "Centro 3" "Personas" "Personas" "Kaya Adams" 359 543 316 443 254 276 40 582 98 358 236 2019-04-08 "Productor 1" "Cuenta 5"
"99" "Centro 5" "Salud" "Salud" "Coleton Torp" 462 431 260 294 223 481 510 66 244 452 163 2019-04-09 "Productor 5" "Cuenta 4"
"100" "Centro 3" "Personas" "Personas" "Mr. Lish Wiegand" 198 371 87 275 410 167 556 223 580 82 405 2019-04-10 "Productor 3" "Cuenta 1"
"101" "Centro 3" "Patrimoniales" "Patrimoniales" "Phylis Osinski" 85 313 567 197 54 406 213 144 153 302 106 2019-04-11 "Productor 2" "Cuenta 1"
"102" "Centro 4" "Patrimoniales" "Patrimoniales" "Amare Eichmann-Adams" 303 277 551 267 225 465 517 392 491 599 510 2019-04-12 "Productor 5" "Cuenta 1"
"103" "Centro 5" "Patrimoniales" "Patrimoniales" "Clara Thiel" 174 494 399 511 254 359 209 297 188 509 469 2019-04-13 "Productor 1" "Cuenta 1"
"104" "Centro 5" "Personas" "Personas" "Noe Wolf" 412 473 95 21 191 253 158 585 359 60 552 2019-04-14 "Productor 5" "Cuenta 2"
"105" "Centro 1" "Patrimoniales" "Patrimoniales" "Neely Thompson" 171 422 331 454 314 216 224 549 305 79 259 2019-04-15 "Productor 4" "Cuenta 4"
"106" "Centro 4" "Personas" "Personas" "Ms. Gayle Cormier DVM" 377 190 117 154 295 449 509 50 564 285 479 2019-04-16 "Productor 5" "Cuenta 3"
"107" "Centro 5" "Patrimoniales" "Patrimoniales" "Orris Hahn" 439 343 61 35 549 500 335 560 295 133 434 2019-04-17 "Productor 3" "Cuenta 5"
"108" "Centro 5" "Fianzas" "Fianzas" "Martika Mann" 442 437 366 186 268 130 560 290 258 233 569 2019-04-18 "Productor 3" "Cuenta 3"
"109" "Centro 1" "Patrimoniales" "Patrimoniales" "Iva Heller" 293 150 55 483 61 319 177 470 428 304 68 2019-04-19 "Productor 5" "Cuenta 1"
"110" "Centro 3" "Personas" "Personas" "Dovie Pouros" 585 394 186 414 0 513 334 529 0 263 198 2019-04-20 "Productor 1" "Cuenta 5"
"111" "Centro 2" "Auto" "Auto" "Orren Yost-Mitchell" 233 588 520 150 500 49 472 587 417 531 410 2019-04-21 "Productor 1" "Cuenta 4"
"112" "Centro 4" "Salud" "Salud" "Rian Price" 30 352 395 47 30 232 38 219 582 568 501 2019-04-22 "Productor 4" "Cuenta 1"
"113" "Centro 5" "Salud" "Salud" "Queen Gleason-White" 356 447 161 324 127 96 546 202 26 443 449 2019-04-23 "Productor 4" "Cuenta 4"
"114" "Centro 2" "Salud" "Salud" "Dr. Jayvon Kshlerin" 480 117 156 297 427 447 103 296 145 356 254 2019-04-24 "Productor 1" "Cuenta 5"
"115" "Centro 5" "Patrimoniales" "Patrimoniales" "Merton Schmidt" 510 25 406 168 269 98 108 152 388 95 501 2019-04-25 "Productor 5" "Cuenta 1"
"116" "Centro 4" "Fianzas" "Fianzas" "Vester Will" 551 245 363 224 500 318 424 66 121 243 212 2019-04-26 "Productor 4" "Cuenta 4"
"117" "Centro 3" "Fianzas" "Fianzas" "Leighton Auer DVM" 305 46 583 283 520 475 450 192 48 140 174 2019-04-27 "Productor 1" "Cuenta 4"
"118" "Centro 5" "Patrimoniales" "Patrimoniales" "Mr. Roddy Grimes II" 1 340 214 106 435 447 596 561 379 363 384 2019-04-28 "Productor 5" "Cuenta 4"
"119" "Centro 5" "Personas" "Personas" "Adalyn Witting" 274 305 149 321 282 483 298 9 403 327 599 2019-04-29 "Productor 2" "Cuenta 2"
"120" "Centro 1" "Auto" "Auto" "Hillard Beier" 8 184 580 528 506 164 485 10 425 508 245 2019-04-30 "Productor 5" "Cuenta 3"
"121" "Centro 4" "Patrimoniales" "Patrimoniales" "Evonne Schmitt" 569 223 245 433 307 428 51 174 111 324 304 2019-05-01 "Productor 1" "Cuenta 2"
"122" "Centro 2" "Auto" "Auto" "Tillman Paucek-Krajcik" 363 356 195 291 378 350 211 92 315 189 157 2019-05-02 "Productor 5" "Cuenta 3"
"123" "Centro 1" "Fianzas" "Fianzas" "Libby Gerhold MD" 464 235 549 422 499 60 333 1 236 122 29 2019-05-03 "Productor 4" "Cuenta 3"
"124" "Centro 2" "Patrimoniales" "Patrimoniales" "Toshiko Dare-Blanda" 335 565 100 245 37 489 79 433 282 378 361 2019-05-04 "Productor 1" "Cuenta 5"
"125" "Centro 1" "Patrimoniales" "Patrimoniales" "Jeramiah Batz" 3 29 337 581 550 401 366 405 573 561 166 2019-05-05 "Productor 4" "Cuenta 2"
"126" "Centro 5" "Auto" "Auto" "Alex Denesik" 405 211 516 268 89 364 251 121 139 347 192 2019-05-06 "Productor 1" "Cuenta 2"
"127" "Centro 4" "Auto" "Auto" "Robbin Torphy" 136 254 15 193 164 94 339 335 338 556 541 2019-05-07 "Productor 2" "Cuenta 4"
"128" "Centro 5" "Fianzas" "Fianzas" "Mintie Farrell-Bailey" 500 344 572 538 477 298 474 187 107 232 383 2019-05-08 "Productor 2" "Cuenta 5"
"129" "Centro 1" "Personas" "Personas" "Mrs. Presley Davis" 435 555 200 525 515 90 519 599 267 122 411 2019-05-09 "Productor 3" "Cuenta 4"
"130" "Centro 1" "Salud" "Salud" "Olympia O'Hara" 574 441 362 163 151 479 91 62 389 140 138 2019-05-10 "Productor 3" "Cuenta 5"
"131" "Centro 2" "Auto" "Auto" "Lamarcus Dibbert" 29 363 539 114 553 240 543 214 48 315 199 2019-05-11 "Productor 3" "Cuenta 5"
"132" "Centro 1" "Fianzas" "Fianzas" "Jacob Turcotte" 150 414 455 319 476 413 84 70 203 341 516 2019-05-12 "Productor 5" "Cuenta 1"
"133" "Centro 1" "Auto" "Auto" "Yolonda Langworth" 121 193 26 264 111 105 228 319 249 127 17 2019-05-13 "Productor 5" "Cuenta 3"
"134" "Centro 5" "Personas" "Personas" "Jaiden Carter Sr." 41 244 591 364 512 409 472 364 159 389 556 2019-05-14 "Productor 3" "Cuenta 3"
"135" "Centro 4" "Fianzas" "Fianzas" "Lynwood Kub" 438 474 156 325 381 162 288 559 482 421 198 2019-05-15 "Productor 3" "Cuenta 5"
"136" "Centro 5" "Auto" "Auto" "Lyndsey Lueilwitz MD" 393 163 485 437 452 442 308 2 412 165 62 2019-05-16 "Productor 2" "Cuenta 5"
"137" "Centro 1" "Auto" "Auto" "Kaila Runolfsdottir-Gorczany" 393 235 431 279 515 380 208 215 499 561 455 2019-05-17 "Productor 3" "Cuenta 5"
"138" "Centro 4" "Fianzas" "Fianzas" "Aric Donnelly" 428 117 226 408 208 248 184 598 379 270 570 2019-05-18 "Productor 3" "Cuenta 1"
"139" "Centro 1" "Auto" "Auto" "Cherilyn O'Reilly" 558 232 220 173 99 331 350 131 423 1 316 2019-05-19 "Productor 3" "Cuenta 4"
"140" "Centro 1" "Salud" "Salud" "Terence Gaylord" 581 28 587 261 172 303 141 240 62 181 280 2019-05-20 "Productor 1" "Cuenta 4"
"141" "Centro 1" "Fianzas" "Fianzas" "Casimer Fay-Bernier" 454 484 168 451 592 113 376 109 53 97 274 2019-05-21 "Productor 4" "Cuenta 1"
"142" "Centro 3" "Auto" "Auto" "Annette Konopelski MD" 211 153 187 35 52 525 493 13 65 538 18 2019-05-22 "Productor 3" "Cuenta 2"
"143" "Centro 4" "Fianzas" "Fianzas" "Marley Ankunding-Medhurst" 120 290 359 425 377 56 74 240 144 80 351 2019-05-23 "Productor 5" "Cuenta 2"
"144" "Centro 3" "Salud" "Salud" "Donta Carroll" 467 296 193 547 174 243 461 176 144 516 180 2019-05-24 "Productor 1" "Cuenta 4"
"145" "Centro 3" "Fianzas" "Fianzas" "Tiesha Waelchi-Franecki" 104 507 587 579 358 213 145 535 175 25 441 2019-05-25 "Productor 2" "Cuenta 2"
"146" "Centro 4" "Fianzas" "Fianzas" "Mr. Mathew Streich" 68 87 146 533 115 216 242 342 365 118 88 2019-05-26 "Productor 2" "Cuenta 4"
"147" "Centro 1" "Auto" "Auto" "Amiyah Pfeffer-O'Kon" 93 303 160 327 100 150 264 379 194 267 108 2019-05-27 "Productor 2" "Cuenta 5"
"148" "Centro 1" "Patrimoniales" "Patrimoniales" "Hadassah Hamill DVM" 105 265 142 103 127 238 183 220 278 379 223 2019-05-28 "Productor 1" "Cuenta 3"
"149" "Centro 2" "Fianzas" "Fianzas" "Saverio Boyle MD" 344 178 242 121 366 209 445 244 522 177 490 2019-05-29 "Productor 5" "Cuenta 1"
"150" "Centro 3" "Patrimoniales" "Patrimoniales" "Miss Tiny King" 91 338 148 156 462 130 206 150 170 84 306 2019-05-30 "Productor 3" "Cuenta 4"
"151" "Centro 3" "Patrimoniales" "Patrimoniales" "Jeramiah DuBuque" 421 586 534 221 130 256 201 6 129 573 277 2019-05-31 "Productor 4" "Cuenta 1"
"152" "Centro 5" "Fianzas" "Fianzas" "Lawton West" 14 240 136 9 122 21 273 382 239 548 300 2019-06-01 "Productor 3" "Cuenta 2"
"153" "Centro 1" "Fianzas" "Fianzas" "Mahala Walsh" 173 562 410 376 467 517 127 465 250 85 13 2019-06-02 "Productor 5" "Cuenta 4"
"154" "Centro 3" "Salud" "Salud" "Jayvon Glover DVM" 248 296 578 462 472 453 476 522 23 499 515 2019-06-03 "Productor 1" "Cuenta 1"
"155" "Centro 1" "Personas" "Personas" "Mr. Rayshawn Considine II" 447 436 124 132 307 97 313 345 413 211 505 2019-06-04 "Productor 1" "Cuenta 2"
"156" "Centro 5" "Patrimoniales" "Patrimoniales" "Tinie Gottlieb MD" 103 39 13 472 275 220 555 519 318 190 305 2019-06-05 "Productor 4" "Cuenta 5"
"157" "Centro 4" "Auto" "Auto" "Robbie Leuschke-Sanford" 365 153 375 247 107 474 223 534 386 198 479 2019-06-06 "Productor 3" "Cuenta 3"
"158" "Centro 1" "Personas" "Personas" "Mrs. Kathleen Weber DDS" 34 506 233 576 582 532 262 538 211 50 577 2019-06-07 "Productor 5" "Cuenta 4"
"159" "Centro 1" "Fianzas" "Fianzas" "Kathyrn Cartwright" 32 81 199 436 448 482 211 408 500 211 289 2019-06-08 "Productor 4" "Cuenta 4"
"160" "Centro 2" "Patrimoniales" "Patrimoniales" "Marquis Durgan" 404 514 13 361 387 57 244 596 408 318 12 2019-06-09 "Productor 1" "Cuenta 1"
"161" "Centro 1" "Patrimoniales" "Patrimoniales" "Guadalupe Friesen DVM" 223 276 268 52 463 3 242 526 43 437 528 2019-06-10 "Productor 5" "Cuenta 5"
"162" "Centro 1" "Salud" "Salud" "Mr. Demario Greenholt DDS" 99 197 598 391 90 440 80 389 27 340 54 2019-06-11 "Productor 2" "Cuenta 2"
"163" "Centro 5" "Salud" "Salud" "Jeromy Okuneva" 431 90 146 214 305 235 192 220 421 52 468 2019-06-12 "Productor 4" "Cuenta 4"
"164" "Centro 5" "Salud" "Salud" "Margarito Simonis" 265 577 565 1 411 574 127 464 379 256 357 2019-06-13 "Productor 4" "Cuenta 2"
"165" "Centro 2" "Fianzas" "Fianzas" "Rey Green" 565 454 95 545 596 158 550 319 117 43 50 2019-06-14 "Productor 3" "Cuenta 5"
"166" "Centro 5" "Auto" "Auto" "Dr. Porter Paucek Sr." 116 487 413 151 177 217 2 4 599 185 325 2019-06-15 "Productor 5" "Cuenta 1"
"167" "Centro 1" "Personas" "Personas" "Mrs. Vernetta Hodkiewicz DDS" 461 300 178 402 517 264 274 470 518 542 326 2019-06-16 "Productor 5" "Cuenta 2"
